Concept,Label,@en,@de,@it,@fr,@hu,@ca,@ru,@es,@el-latn,Lat,Long
<http://vocab.getty.edu/tgn/1004692>,Hook,"""oo""@en",,,,,,,,,51.3667,-0.3
<http://vocab.getty.edu/tgn/1005309>,Pankow,,,,,,,,,,52.5667,13.4
<http://vocab.getty.edu/tgn/1001732>,Palermo,,,,,,,,,,37.816667,13.583333
<http://vocab.getty.edu/tgn/1000091>,România,"""omani""@en","""umänie""@de",,"""oumani""@fr",,,"""умыни""@ru","""umani""@es",,46,25
<http://vocab.getty.edu/tgn/1003314>,Krasnoyarskiy Kray,,,,,,,,,,58,93
<http://vocab.getty.edu/tgn/1005422>,Reinickendorf,,,,,,,,,,52.5833,13.3333
<http://vocab.getty.edu/tgn/1000443>,Sibiu,,,,,,,,,,45.9167,24.25
<http://vocab.getty.edu/tgn/1003611>,Kirklees,"""irklee""@en",,,,,,,,,53.5833,-1.8333
<http://vocab.getty.edu/tgn/1004847>,Kensington and Chelsea,"""ensington and Chelse""@en",,,,,,,,,51.45,-0.1833
<http://vocab.getty.edu/tgn/1003614>,Liverpool,"""iverpoo""@en",,,,,,,,,53.4167,-3
<http://vocab.getty.edu/tgn/1003460>,Grosseto,,,,,,,,,,42.833333,11.25
<http://vocab.getty.edu/tgn/1003429>,Ancona,,,,,,,,,,43.55,13.166667
<http://vocab.getty.edu/tgn/1003432>,Ascoli Piceno,,,,,,,,,,43.016667,13.566667
<http://vocab.getty.edu/tgn/1003459>,Gorizia,,,,,,,,,,45.916667,13.5
<http://vocab.getty.edu/tgn/1000374>,Gävleborg,,,,,,,,,,61.5,16.25
<http://vocab.getty.edu/tgn/1025423>,Bürs,,,,,,,,,,47.15,9.8167
<http://vocab.getty.edu/tgn/1001647>,Castilla-La Mancha,,,,,,,,,,39.5,-3
<http://vocab.getty.edu/tgn/1000882>,Lisboa,,,,,,,,,,39,-9.133333
<http://vocab.getty.edu/tgn/1003505>,Trieste,,,,,,,,,,45.333333,13.416667
<http://vocab.getty.edu/tgn/1003510>,Vercelli,,,,,,,,,,45.616667,8.166667
<http://vocab.getty.edu/tgn/1000403>,Dalarna,,,,,,,,,,61,14.5
<http://vocab.getty.edu/tgn/1003398>,Orenburgskaya Oblast',,,,,,,"""renburgskaya Oblast""@ru-latn",,,52,56
<http://vocab.getty.edu/tgn/1004968>,Lichtenberg,,,,,,,,,,52.5167,13.4833
<http://vocab.getty.edu/tgn/1003397>,Orlovskaya Oblast’,"""re""@en",,,,,,"""ryo""@ru-latn",,,53,36.416
<http://vocab.getty.edu/tgn/1003473>,Massa-Carrara,,,,,,,,,,44.25,10.05
<http://vocab.getty.edu/tgn/1005382>,Purley,"""urle""@en",,,,,,,,,51.3333,-0.1167
<http://vocab.getty.edu/tgn/1001622>,Agrigento,,,,,,,,,,37.45,13.5
<http://vocab.getty.edu/tgn/1000216>,Polynésie française,"""rench Polynesi""@en",,,,,,,,,-15,-140
<http://vocab.getty.edu/tgn/1004664>,Hillegersberg,,,,,,,,,,51.9667,4.5167
<http://vocab.getty.edu/tgn/1003373>,Irkutskaya Oblast',,,,,,,,,,56,106
<http://vocab.getty.edu/tgn/1003408>,Saratovskaya Oblast',,,,,,,"""arato""@ru-latn",,,51.5,47
<http://vocab.getty.edu/tgn/1003600>,Halton,"""alto""@en",,,,,,,,,53.3333,-2.7
<http://vocab.getty.edu/tgn/1000344>,Bihor,,,,,,,,,,47,22.3333
<http://vocab.getty.edu/tgn/1005101>,Mitte,,,,,,,,,,52.55,13.3667
<http://vocab.getty.edu/tgn/1000440>,Sør-Trøndelag,,,,,,,,,,63,10.6667
<http://vocab.getty.edu/tgn/1003573>,Calderdale,"""alderdal""@en",,,,,,,,,53.75,-2
<http://vocab.getty.edu/tgn/1000184>,Réunion,"""eunio""@en",,,,,,,,,-21.1,55.6
<http://vocab.getty.edu/tgn/1025397>,Amstetten,,,,,,,,,,48.1333,14.8667
<http://vocab.getty.edu/tgn/1003450>,Cosenza,,,,,,,,,,39.466667,16.416667
<http://vocab.getty.edu/tgn/1003447>,Catanzaro,,,,,,,,,,38.9,16.6
<http://vocab.getty.edu/tgn/1003405>,Rostovskaya Oblast’,,,,,,,"""osto""@ru-latn",,,47.440322,41.080829
<http://vocab.getty.edu/tgn/1000090>,Portugal,"""ortuga""@en",,,"""ortuga""@fr",,,"""ортугали""@ru","""ortuga""@es",,39.5,-8
<http://vocab.getty.edu/tgn/1025426>,Bad Aussee,,,,,,,,,,47.6167,13.7833
<http://vocab.getty.edu/tgn/1003566>,Bolton,"""olto""@en",,,,,,,,,53.5833,-2.4167
<http://vocab.getty.edu/tgn/1025432>,Bad Ischl,,,,,,,,,,47.7167,13.6333
<http://vocab.getty.edu/tgn/1005180>,Neukölln,,,,,,,,,,52.483333,13.45
<http://vocab.getty.edu/tgn/1001762>,Trapani,,,,,,,,,,37.833333,12.666667
<http://vocab.getty.edu/tgn/1003508>,Varese,,,,,,,,,,45.8,8.8
<http://vocab.getty.edu/tgn/1003468>,Lecce,,,,,,,,,,40.216667,18.166667
<http://vocab.getty.edu/tgn/1003523>,Jihomoravský Kraj,,,,,,,,,,49.1667,16.583
<http://vocab.getty.edu/tgn/1003506>,Udine,,,,,,,,,,46.166667,13
<http://vocab.getty.edu/tgn/1003530>,Středočeský Kraj,"""tředočesk""@en",,,,,,,,,50.083,14.4167
<http://vocab.getty.edu/tgn/1003656>,Trafford,"""raffor""@en",,,,,,,,,53.4,-2.35
<http://vocab.getty.edu/tgn/1005654>,Stadlau,,,,,,,,,,48.2333,16.4667
<http://vocab.getty.edu/tgn/1001651>,Catania,,,,,,,,,,37.383333,14.666667
<http://vocab.getty.edu/tgn/1001641>,Cagliari,,,,,,,,,,39.5,8.75
<http://vocab.getty.edu/tgn/1000396>,Jönköping,,,,,,,,,,57.5,14.5
<http://vocab.getty.edu/tgn/1000351>,Brașov,,,,,,,,,,45.75,25.3333
<http://vocab.getty.edu/tgn/1000070>,France,"""ranc""@en","""rankreic""@de","""ranci""@it","""ranc""@fr",,,"""ранци""@ru","""ranci""@es",,46,2
<http://vocab.getty.edu/tgn/1001439>,Murcia,,,,,,,,,,37.9167,-1.5
<http://vocab.getty.edu/tgn/1025441>,Badgastein,,,,,,,,,,47.1167,13.15
<http://vocab.getty.edu/tgn/1003381>,"Krym, Avtonomna Respublika",,,,,,,,,,45,34
<http://vocab.getty.edu/tgn/1001780>,Česko,"""zech Republi""@en",,,"""épublique tchèqu""@fr",,,"""ешская Республик""@ru","""epública Chec""@es",,49.75,15
<http://vocab.getty.edu/tgn/1025438>,Bad Vöslau,,,,,,,,,,47.9667,16.2333
<http://vocab.getty.edu/tgn/1016610>,Pointe-à-Pitre,,,,,,,,,,16.2333,-61.5333
<http://vocab.getty.edu/tgn/1000102>,Srbija-Crna Gora,"""erbia and Montenegr""@en","""erbien und Montenegr""@de",,"""erbie-et-Monténégr""@fr",,,,"""erbia y Montenegr""@es",,44,21
<http://vocab.getty.edu/tgn/1000069>,Suomi,"""inlan""@en",,,"""inland""@fr",,,"""инлянди""@ru","""inlandi""@es",,64,26
<http://vocab.getty.edu/tgn/1003640>,Salford,"""alfor""@en",,,,,,,,,53.5,-2.2667
<http://vocab.getty.edu/tgn/1001643>,Caltanissetta,,,,,,,,,,37.4,14.166667
<http://vocab.getty.edu/tgn/1001753>,Siracusa,,,,,,,,,,37.05,15
<http://vocab.getty.edu/tgn/1003478>,Novara,,,,,,,,,,45.966667,8.4
<http://vocab.getty.edu/tgn/1003483>,Pesaro e Urbino,,,,,,,,,,43.666667,12.633333
<http://vocab.getty.edu/tgn/1003440>,Bolzano,,,,,,,,,,46.716667,11.5
<http://vocab.getty.edu/tgn/1000080>,Italia,"""tal""@en","""talie""@de","""tali""@it","""tali""@fr",,,"""тали""@ru","""tali""@es",,42.8333,12.8333
<http://vocab.getty.edu/tgn/1025444>,Berndorf,,,,,,,,,,47.9667,16.1333
<http://vocab.getty.edu/tgn/1031304>,Hyvinkää,,,,,,,,,,60.6167,24.8333
<http://vocab.getty.edu/tgn/1027507>,Rudolfov,,,,,,,,,,48.9833,14.5333
<http://vocab.getty.edu/tgn/1027344>,Litvínov,,,,,,,,,,50.6167,13.6
<http://vocab.getty.edu/tgn/1025990>,Rauris,,,,,,,,,,47.2333,13
<http://vocab.getty.edu/tgn/1028579>,Bowdon,"""owdo""@en",,,,,,,,,53.366667,-2.366667
<http://vocab.getty.edu/tgn/1025751>,Längenfeld,,,,,,,,,,47.0833,10.9667
<http://vocab.getty.edu/tgn/1025644>,Hard,,,,,,,,,,47.4833,9.7
<http://vocab.getty.edu/tgn/1027299>,Kraslice,,,,,,,,,,50.35,12.5167
<http://vocab.getty.edu/tgn/1026013>,Saalfelden,,,,,,,,,,47.4333,12.8667
<http://vocab.getty.edu/tgn/1025669>,Hohenems,,,,,,,,,,47.3833,9.7167
<http://vocab.getty.edu/tgn/1025533>,Felixdorf,,,,,,,,,,47.8833,16.25
<http://vocab.getty.edu/tgn/1025956>,Pottendorf,,,,,,,,,,47.9167,16.3833
<http://vocab.getty.edu/tgn/1030739>,Staplehurst,"""taplehurs""@en",,,,,,,,,51.15,0.55
<http://vocab.getty.edu/tgn/1029764>,Knebworth,"""nebwort""@en",,,,,,,,,51.866667,-0.2
<http://vocab.getty.edu/tgn/1028299>,Altrincham,"""ltrincha""@en",,,,,,,,,53.383333,-2.35
<http://vocab.getty.edu/tgn/1025948>,Pians,,,,,,,,,,47.1333,10.5
<http://vocab.getty.edu/tgn/1025649>,Heidenreichstein,,,,,,,,,,48.8833,15.1333
<http://vocab.getty.edu/tgn/1026247>,Wolfurt,,,,,,,,,,47.4667,9.75
<http://vocab.getty.edu/tgn/1029577>,Hoddesdon,,,,,,,,,,51.7667,-0.0167
<http://vocab.getty.edu/tgn/1030747>,Stockbridge,"""tockbridg""@en",,,,,,,,,51.1,-1.483333
<http://vocab.getty.edu/tgn/1027461>,Pelhřimov,,,,,,,,,,49.4333,15.2167
<http://vocab.getty.edu/tgn/1030472>,Rugby,"""ugb""@en",,,,,,,,,52.366667,-1.25
<http://vocab.getty.edu/tgn/1030297>,Pendlebury,"""endlebur""@en",,,,,,,,,53.516667,-2.333333
<http://vocab.getty.edu/tgn/1026018>,Sankt Andrä,,,,,,,,,,46.7667,14.8167
<http://vocab.getty.edu/tgn/1025900>,Obergurgl,,,,,,,,,,46.8667,11.0333
<http://vocab.getty.edu/tgn/1026051>,Sankt Veit an der Glan,,,,,,,,,,46.7667,14.35
<http://vocab.getty.edu/tgn/1026030>,Sankt Johann im Pongau,,,,,,,,,,47.35,13.2
<http://vocab.getty.edu/tgn/1029037>,Denham,,,,,,,,,,51.566667,-0.5
<http://vocab.getty.edu/tgn/1027169>,Dvůr Králové,,,,,,,,,,50.45,15.8333
<http://vocab.getty.edu/tgn/1030744>,Stevenage,"""tevenag""@en",,,,,,,,,51.916667,-0.216667
<http://vocab.getty.edu/tgn/1027273>,Kladno,,,,,,,,,,50.1667,14.1167
<http://vocab.getty.edu/tgn/1030136>,New Alresford,"""ew Alresfor""@en",,,,,,,,,51.083333,-1.166667
<http://vocab.getty.edu/tgn/1028585>,Boxmoor,,,,,,,,,,51.7333,-0.4833
<http://vocab.getty.edu/tgn/1025805>,Möllersdorf,,,,,,,,,,48.0333,16.3
<http://vocab.getty.edu/tgn/1025456>,Bludenz,,,,,,,,,,47.1667,9.8333
<http://vocab.getty.edu/tgn/1027370>,Mariánské Lázně,,,,,,,,,,49.8,12.75
<http://vocab.getty.edu/tgn/1027016>,Červený Kostelec,,,,,,,,,,50.4833,16.1
<http://vocab.getty.edu/tgn/1025977>,Radstadt,,,,,,,,,,47.3833,13.4667
<http://vocab.getty.edu/tgn/1025984>,Rankweil,,,,,,,,,,47.2833,9.6667
<http://vocab.getty.edu/tgn/1031182>,Woking,"""okin""@en",,,,,,,,,51.316667,-0.533333
<http://vocab.getty.edu/tgn/1027394>,Moravská Třebová,,,,,,,,,,49.7833,16.6667
<http://vocab.getty.edu/tgn/1027423>,Nové Město nad Metují,,,,,,,,,,50.354135,16.139448
<http://vocab.getty.edu/tgn/1025641>,Hall in Tirol,,,,,,,,,,47.2833,11.5167
<http://vocab.getty.edu/tgn/1029771>,Knutsford,,,,,,,,,,53.3,-2.366667
<http://vocab.getty.edu/tgn/1030208>,Northiam,"""orthia""@en",,,,,,,,,50.983333,0.6
<http://vocab.getty.edu/tgn/1025625>,Höchst,,,,,,,,,,47.4667,9.6333
<http://vocab.getty.edu/tgn/1028596>,Braintree,,,,,,,,,,51.883333,0.566667
<http://vocab.getty.edu/tgn/1029655>,Ide Hill,"""de Hil""@en",,,,,,,,,51.25,0.1333
<http://vocab.getty.edu/tgn/1028909>,Colnbrook,"""olnbroo""@en",,,,,,,,,51.466667,-0.516667
<http://vocab.getty.edu/tgn/1027519>,Senec,,,,,,,,,,48.2167,17.4167
<http://vocab.getty.edu/tgn/1030643>,Skelmersdale,"""kelmersdal""@en",,,,,,,,,53.533333,-2.8
<http://vocab.getty.edu/tgn/1028481>,Bideford,"""idefor""@en",,,,,,,,,51.016667,-4.216667
<http://vocab.getty.edu/tgn/1028966>,Crawley,"""rawle""@en",,,,,,,,,51.116667,-0.183333
<http://vocab.getty.edu/tgn/1027710>,Askov,,,,,,,,,,55.4667,9.1167
<http://vocab.getty.edu/tgn/1029749>,Kirkbymoorside,,,,,,,,,,54.266667,-0.933333
<http://vocab.getty.edu/tgn/1030660>,Solihull,"""olihul""@en",,,,,,,,,52.416667,-1.783333
<http://vocab.getty.edu/tgn/1026396>,Diksmuide,,,,,,,,,,51.032483,2.863836
<http://vocab.getty.edu/tgn/1026252>,Zürs,,,,,,,,,,47.1667,10.1667
<http://vocab.getty.edu/tgn/1026347>,Bouillon,,,,,,,,,,49.8,5.066667
<http://vocab.getty.edu/tgn/1026007>,Rottenmann,,,,,,,,,,47.5333,14.3833
<http://vocab.getty.edu/tgn/1031061>,West Malling,"""est Mallin""@en",,,,,,,,,51.283333,0.416667
<http://vocab.getty.edu/tgn/1026264>,Zwentendorf,,,,,,,,,,48.35,15.9167
<http://vocab.getty.edu/tgn/1027215>,Hrádek nad Nisou,,,,,,,,,,50.85,14.85
<http://vocab.getty.edu/tgn/1028875>,Cleckheaton,"""leckheato""@en-gb",,,,,,,,,53.716667,-1.716667
<http://vocab.getty.edu/tgn/1027418>,Nova Paka,,,,,,,,,,50.5,15.5
<http://vocab.getty.edu/tgn/1026348>,Boussu,,,,,,,,,,50.433333,3.8
<http://vocab.getty.edu/tgn/1025938>,Perchtoldsdorf,,,,,,,,,,48.1333,16.2833
<http://vocab.getty.edu/tgn/1028322>,Arley,,,,,,,,,,53.3167,-2.5
<http://vocab.getty.edu/tgn/1027506>,Ružomberok,,,,,,,,,,49.0667,19.25
<http://vocab.getty.edu/tgn/1027426>,Nové Sedlo,,,,,,,,,,50.2167,12.7333
<http://vocab.getty.edu/tgn/1025825>,Maria Enzersdorf,,,,,,,,,,48.1,16.2833
<http://vocab.getty.edu/tgn/1026842>,Asenovgrad,,,,,,,,,,42,24.8833
<http://vocab.getty.edu/tgn/1025721>,Kirchberg,,,,,,,,,,48.45,15.9
<http://vocab.getty.edu/tgn/1026393>,Deurne,,,,,,,,,,51.221343,4.465948
<http://vocab.getty.edu/tgn/1026209>,Wattens,,,,,,,,,,47.3,11.6167
<http://vocab.getty.edu/tgn/1025618>,Gunskirchen,,,,,,,,,,48.1333,12.9667
<http://vocab.getty.edu/tgn/1025677>,Horn,,,,,,,,,,48.6667,15.6667
<http://vocab.getty.edu/tgn/1025696>,Köflach,,,,,,,,,,47.0667,15.0667
<http://vocab.getty.edu/tgn/1027291>,Kostelec nad Labem,,,,,,,,,,50.2333,14.6
<http://vocab.getty.edu/tgn/1025502>,Ehrwald,,,,,,,,,,47.4,10.9333
<http://vocab.getty.edu/tgn/1026020>,Sankt Anton am Arlberg,,,,,,,,,,47.1333,10.2667
<http://vocab.getty.edu/tgn/1026367>,Chaudfontaine,,,,,,,,,,50.583333,5.633333
<http://vocab.getty.edu/tgn/1028961>,Cranbrook,"""ranbroo""@en",,,,,,,,,51.083333,0.533333
<http://vocab.getty.edu/tgn/1030976>,Wallasey,"""allase""@en",,,,,,,,,53.433333,-3.066667
<http://vocab.getty.edu/tgn/1025894>,Nofels,,,,,,,,,,47.2667,9.5833
<http://vocab.getty.edu/tgn/1031011>,Washington,"""ashingto""@en",,,,,,,,,54.9,-1.516667
<http://vocab.getty.edu/tgn/1027565>,Svatava,,,,,,,,,,50.1833,12.6333
<http://vocab.getty.edu/tgn/1030741>,Staveley,,,,,,,,,,53.266667,-1.35
<http://vocab.getty.edu/tgn/1025803>,Mödling,,,,,,,,,,48.0667,16.3667
<http://vocab.getty.edu/tgn/1025801>,Lustenau,,,,,,,,,,47.4333,9.7
<http://vocab.getty.edu/tgn/1031273>,Ekenäs,,,,,,,,,,60,23.5
<http://vocab.getty.edu/tgn/1025632>,Haag am Hausruck,,,,,,,,,,48.1833,13.6333
<http://vocab.getty.edu/tgn/1029209>,Fairseat,,,,,,,,,,51.3333,0.3333
<http://vocab.getty.edu/tgn/1027001>,Ústí nad Labem,"""stí nad Labe""@en","""ussi""@de",,,,,,,,50.6833,14
<http://vocab.getty.edu/tgn/1026231>,Wiener Neudorf,,,,,,,,,,48.0833,16.3167
<http://vocab.getty.edu/tgn/1026159>,Trins,,,,,,,,,,47.0833,11.4167
<http://vocab.getty.edu/tgn/1028342>,Ashton upon Mersey,,,,,,,,,,53.4333,-2.3167
<http://vocab.getty.edu/tgn/1025638>,Hainburg an der Donau,,,,,,,,,,48.15,16.95
<http://vocab.getty.edu/tgn/1026416>,Essen,,,,,,,,,,51.466667,4.466667
<http://vocab.getty.edu/tgn/1046162>,Positano,,,,,,,,,,40.633333,14.483333
<http://vocab.getty.edu/tgn/1044085>,Castiglione della Pescaia,,,,,,,,,,42.766667,10.883333
<http://vocab.getty.edu/tgn/1039568>,Bad Herrenalb,,,,,,,,,,48.8,8.433333
<http://vocab.getty.edu/tgn/1039800>,Kaisersesch,,,,,,,,,,50.233333,7.15
<http://vocab.getty.edu/tgn/1038183>,Altenmarkt,,,,,,,,,,48,12.533333
<http://vocab.getty.edu/tgn/1031656>,Épinay-sous-Sénart,,,,,,,,,,48.689701,2.511863
<http://vocab.getty.edu/tgn/1041242>,Sinzig,,,,,,,,,,50.55,7.25
<http://vocab.getty.edu/tgn/1046271>,Rho,,,,,,,,,,45.533333,9.033333
<http://vocab.getty.edu/tgn/1031555>,Seinäjoki,,,,,,,,,,62.75,22.9167
<http://vocab.getty.edu/tgn/1045628>,Muggiò,,,,,,,,,,45.583333,9.216667
<http://vocab.getty.edu/tgn/1042033>,Itháki,"""thac""@en",,,,,,,,,38.360278,20.716111
<http://vocab.getty.edu/tgn/1031405>,Kuortane,,,,,,,,,,62.8,23.5
<http://vocab.getty.edu/tgn/1043764>,Camogli,,,,,,,,,,44.35,9.15
<http://vocab.getty.edu/tgn/1044500>,Domodossola,,,,,,,,,,46.116667,8.283333
<http://vocab.getty.edu/tgn/1041165>,Schwarzenbach am Wald,,,,,,,,,,50.2833,11.6167
<http://vocab.getty.edu/tgn/1042072>,Khíos,"""hio""@en",,,,,,,,,38.367778,26.135833
<http://vocab.getty.edu/tgn/1032295>,Brétigny-sur-Orge,"""rétigny-sur-Org""@en",,,,,,,,,48.61892,2.309158
<http://vocab.getty.edu/tgn/1036356>,Apolda,,,,,,,,,,51.016667,11.5
<http://vocab.getty.edu/tgn/1045174>,Madonna di Campiglio,,,,,,,,,,46.233333,10.816667
<http://vocab.getty.edu/tgn/1045169>,Macugnaga,,,,,,,,,,45.966667,7.966667
<http://vocab.getty.edu/tgn/1044346>,Comeglians,,,,,,,,,,46.516667,12.86
<http://vocab.getty.edu/tgn/1046206>,Procida,,,,,,,,,,40.766667,14.033333
<http://vocab.getty.edu/tgn/1046135>,Port'Ercole,,,,,,,,,,42.383333,11.2
<http://vocab.getty.edu/tgn/1031474>,Nokia,,,,,,,,,,61.4667,23.5
<http://vocab.getty.edu/tgn/1036448>,Bernau bei Berlin,,,,,,,,,,52.6667,13.5833
<http://vocab.getty.edu/tgn/1038147>,Alken,,,,,,,,,,50.25,7.45
<http://vocab.getty.edu/tgn/1038166>,Altdorf,,,,,,,,,,49.3875,11.357222
<http://vocab.getty.edu/tgn/1043457>,Bellagio,,,,,,,,,,45.983333,9.25
<http://vocab.getty.edu/tgn/1043110>,Adro,,,,,,,,,,45.616667,9.95
<http://vocab.getty.edu/tgn/1039144>,Friedrichsthal,,,,,,,,,,49.316667,7.1
<http://vocab.getty.edu/tgn/1032522>,Châtillon,,,,,,,,,,48.802396,2.293464
<http://vocab.getty.edu/tgn/1032687>,Clamart,,,,,,,,,,48.802987,2.266917
<http://vocab.getty.edu/tgn/1032999>,Eaubonne,,,,,,,,,,48.997124,2.282494
<http://vocab.getty.edu/tgn/1031809>,Antrain,,,,,,,,,,48.460308,-1.483536
<http://vocab.getty.edu/tgn/1046205>,Procchio,,,,,,,,,,42.783333,10.25
<http://vocab.getty.edu/tgn/1031312>,Imatra,,,,,,,,,,61.2333,28.8333
<http://vocab.getty.edu/tgn/1032050>,Beaucourt,,,,,,,,,,47.489902,6.924071
<http://vocab.getty.edu/tgn/1044187>,Cesate,,,,,,,,,,45.6,9.0833
<http://vocab.getty.edu/tgn/1041956>,Akharnai,,,,,,,,,,38.083333,23.733333
<http://vocab.getty.edu/tgn/1038251>,Attendorn,,,,,,,,,,51.116667,7.9
<http://vocab.getty.edu/tgn/1043765>,Campagna,,,,,,,,,,40.666667,15.1
<http://vocab.getty.edu/tgn/1031490>,Paimio,,,,,,,,,,60.45,22.7
<http://vocab.getty.edu/tgn/1032405>,Cancale,,,,,,,,,,48.676011,-1.852306
<http://vocab.getty.edu/tgn/1031548>,Säynätsalo,,,,,,,,,,62.15,25.7
<http://vocab.getty.edu/tgn/1040322>,Merzig,,,,,,,,,,49.45,6.633333
<http://vocab.getty.edu/tgn/1038420>,Barmstedt,,,,,,,,,,53.783333,9.766667
<http://vocab.getty.edu/tgn/1045403>,Misinto,,,,,,,,,,45.65,9.083333
<http://vocab.getty.edu/tgn/1031500>,Seinäjoki,,,,,,,,,,62.5667,23.0833
<http://vocab.getty.edu/tgn/1036449>,Bernburg,,,,,,,,,,51.8,11.733333
<http://vocab.getty.edu/tgn/1046080>,Pompei,,,,,,,,,,40.75,14.5
<http://vocab.getty.edu/tgn/1032495>,Châteaubriant,,,,,,,,,,47.717,-1.379335
<http://vocab.getty.edu/tgn/1044429>,Crevola d'Ossola,,,,,,,,,,46.15,8.3
<http://vocab.getty.edu/tgn/1045665>,Nichelino,,,,,,,,,,44.983333,7.633333
<http://vocab.getty.edu/tgn/1032431>,Carros,,,,,,,,,,43.789413,7.18395
<http://vocab.getty.edu/tgn/1031799>,Annet-sur-Marne,,,,,,,,,,48.926692,2.719586
<http://vocab.getty.edu/tgn/1033432>,Herblay,,,,,,,,,,48.989935,2.169902
<http://vocab.getty.edu/tgn/1031485>,Oulu,,,,,,,,,,65,25.4333
<http://vocab.getty.edu/tgn/1032951>,Domont,,,,,,,,,,49.027821,2.326384
<http://vocab.getty.edu/tgn/1042203>,Sérifos,,,,,,,,,"""érifo""@el-latn",37.15,24.5
<http://vocab.getty.edu/tgn/1045746>,Omegna,,,,,,,,,,45.883333,8.4
<http://vocab.getty.edu/tgn/1043789>,Campodolcino,,,,,,,,,,46.4,9.35
<http://vocab.getty.edu/tgn/1032664>,Chevilly-Larue,,,,,,,,,,48.76476,2.350297
<http://vocab.getty.edu/tgn/1044294>,Cles,,,,,,,,,,46.366667,11.033333
<http://vocab.getty.edu/tgn/1046093>,Ponte San Pietro,,,,,,,,,,45.7,9.583333
<http://vocab.getty.edu/tgn/1042068>,Kavála,,,,,,,,,"""avál""@el-latn",40.939722,24.401944
<http://vocab.getty.edu/tgn/1042794>,Enniscorthy,"""nniscorth""@en",,,,,,,,,52.500833,-6.557778
<http://vocab.getty.edu/tgn/1044618>,Fiuggi,,,,,,,,,,41.8,13.216667
<http://vocab.getty.edu/tgn/1038365>,Bad Rappenau,,,,,,,,,,49.240556,9.1025
<http://vocab.getty.edu/tgn/1045256>,Marina di Campo,,,,,,,,,,42.733333,10.233333
<http://vocab.getty.edu/tgn/1043863>,Capri,,,,,,,,,,40.55,14.233333
<http://vocab.getty.edu/tgn/1044226>,Chiusa,,"""lause""@de","""hius""@it",,,,,,,46.633333,11.566667
<http://vocab.getty.edu/tgn/1043559>,Boretto,,,,,,,,,,44.9,10.55
