CONCEPT,LABEL,@EN,@DE,@IT,@FR,@HU,@CA,@RU,@ES,@el-latn
<http://vocab.getty.edu/tgn/1039309>,Grünstadt,,,,,,,,,
<http://vocab.getty.edu/tgn/1045827>,Paesana,,,,,,,,,
<http://vocab.getty.edu/tgn/1044679>,Forte dei Marmi,,,,,,,,,
<http://vocab.getty.edu/tgn/1039869>,Kirchen,,,,,,,,,
<http://vocab.getty.edu/tgn/1039957>,Kusel,,,,,,,,,
<http://vocab.getty.edu/tgn/1033185>,Franconville,,,,,,,,,
<http://vocab.getty.edu/tgn/1042081>,Kifisiá,,,,,,,,,Kifisiá
<http://vocab.getty.edu/tgn/1064068>,Gais,,Gais,,,,,,,
<http://vocab.getty.edu/tgn/1064146>,Kloten,,,,,,,,,
<http://vocab.getty.edu/tgn/1064158>,La Roche,,,,,,,,,
<http://vocab.getty.edu/tgn/1064153>,Lützelflüh,,,,,,,,,
<http://vocab.getty.edu/tgn/1064157>,La Punt,,,,,,,,,
<http://vocab.getty.edu/tgn/1064154>,La Brévine,,,,,,,,,
<http://vocab.getty.edu/tgn/1064078>,Giswil,,,,,,,,,
<http://vocab.getty.edu/tgn/1064167>,Langnau im Emmental,,,,,,,,,
<http://vocab.getty.edu/tgn/1064107>,Hindelbank,,,,,,,,,
<http://vocab.getty.edu/tgn/1064172>,Laufenburg,,,,,,,,,
<http://vocab.getty.edu/tgn/1064164>,Landquart,,,,,,,,,
<http://vocab.getty.edu/tgn/1064100>,Hallau,,,,,,,,,
<http://vocab.getty.edu/tgn/1064070>,Gandria,,,Gandria,,,,,,
<http://vocab.getty.edu/tgn/1064029>,Egnach,,Egnach,,,,,,,
<http://vocab.getty.edu/tgn/1064120>,Innerthal,,Innerthal,,,,,,,
<http://vocab.getty.edu/tgn/1064038>,Eriswil,,,,,,,,,
<http://vocab.getty.edu/tgn/1064143>,Kleinlützel,,,,,,,,,
<http://vocab.getty.edu/tgn/1064110>,Hochdorf,,,,,,,,,
<http://vocab.getty.edu/tgn/1064145>,Klosters Platz,,,,,,,,,
<http://vocab.getty.edu/tgn/1064085>,Gordola,,,Gordola,,,,,,
<http://vocab.getty.edu/tgn/1064093>,Grolley,,,,,,,,,
<http://vocab.getty.edu/tgn/1064076>,Gerzensee,,,,,,,,,
<http://vocab.getty.edu/tgn/1064090>,Grenchen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064098>,Guttannen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064150>,Kriens,,,,,,,,,
<http://vocab.getty.edu/tgn/1064051>,Filzbach,,Filzbach,,,,,,,
<http://vocab.getty.edu/tgn/1064133>,Küssnacht,,,,,,,,,
<http://vocab.getty.edu/tgn/1064115>,Huttwil,,,,,,,,,
<http://vocab.getty.edu/tgn/1064105>,Herznach,,,,,,,,,
<http://vocab.getty.edu/tgn/1064075>,Gersau,,,,,,,,,
<http://vocab.getty.edu/tgn/1064081>,Glattfelden,,,,,,,,,
<http://vocab.getty.edu/tgn/1064170>,Latterbach,,,,,,,,,
<http://vocab.getty.edu/tgn/1064102>,Heiden,,Heiden,,,,,,,
<http://vocab.getty.edu/tgn/1064180>,Le Locle,,,,,,,,,
<http://vocab.getty.edu/tgn/1064097>,Gsteig,,,,,,,,,
<http://vocab.getty.edu/tgn/1064065>,Gänsbrunnen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064138>,Kerzers,,,,,,,,,
<http://vocab.getty.edu/tgn/1064109>,Hinwil,,Hinwil,,,,,,,
<http://vocab.getty.edu/tgn/1064048>,Feldis,,,,,,,,,
<http://vocab.getty.edu/tgn/1064056>,Flims,,,,,,,,,
<http://vocab.getty.edu/tgn/1064175>,Lauterbrunnen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064121>,Innertkirchen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064144>,Klingnau,,,,,,,,,
<http://vocab.getty.edu/tgn/1064072>,Gelterkinden,,,,,,,,,
<http://vocab.getty.edu/tgn/1064128>,Jenaz,,,,,,,,,
<http://vocab.getty.edu/tgn/1064047>,Faido,,,Faido,,,,,,
<http://vocab.getty.edu/tgn/1064131>,Küblis,,,,,,,,,
<http://vocab.getty.edu/tgn/1064089>,Greifensee,,,,,,,,,
<http://vocab.getty.edu/tgn/1064091>,Grimmialp,,,,,,,,,
<http://vocab.getty.edu/tgn/1064054>,Flawil,,Flawil,,,,,,,
<http://vocab.getty.edu/tgn/1064116>,Il Fuorn,,,,,,,,,
<http://vocab.getty.edu/tgn/1064130>,Köniz,,,,,,,,,
<http://vocab.getty.edu/tgn/1064033>,Emmenbrücke,,,,,,,,,
<http://vocab.getty.edu/tgn/1064067>,Gadmen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064032>,Embrach,,,,,,,,,
<http://vocab.getty.edu/tgn/1064094>,Gross Höchstetten,,,,,,,,,
<http://vocab.getty.edu/tgn/1064057>,Flums,,Flums,,,,,,,
<http://vocab.getty.edu/tgn/1064079>,Gland,,,,Gland,,,,,
<http://vocab.getty.edu/tgn/1064159>,La Sagne,,,,,,,,,
<http://vocab.getty.edu/tgn/1064137>,Kandersteg,,,,,,,,,
<http://vocab.getty.edu/tgn/1064040>,Ermatingen,,Ermatingen,,,,,,,
<http://vocab.getty.edu/tgn/1064043>,Estavayer-le-Lac,,,,,,,,,
<http://vocab.getty.edu/tgn/1064099>,Gwatt,,,,,,,,,
<http://vocab.getty.edu/tgn/1064136>,Kaltbrunn,,Kaltbrunn,,,,,,,
<http://vocab.getty.edu/tgn/1064086>,Gossau,,Gossau,,,,,,,
<http://vocab.getty.edu/tgn/1064104>,Herisau,,Herisau,,,,,,,
<http://vocab.getty.edu/tgn/1064092>,Grindelwald,,,,,,,,,
<http://vocab.getty.edu/tgn/1064114>,Hundwil,,Hundwil,,,,,,,
<http://vocab.getty.edu/tgn/1064134>,Küttigen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064108>,Hinterrhein,,,,,,,,,
<http://vocab.getty.edu/tgn/1064055>,Fleurier,,,,,,,,,
<http://vocab.getty.edu/tgn/1064168>,Langwies,,,,,,,,,
<http://vocab.getty.edu/tgn/1064039>,Erlach,,,,,,,,,
<http://vocab.getty.edu/tgn/1064074>,Gerlafingen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064171>,Laufen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064140>,Kiental,,,,,,,,,
<http://vocab.getty.edu/tgn/1064059>,Freienbach,,Freienbach,,,,,,,
<http://vocab.getty.edu/tgn/1064126>,Isone,,,Isone,,,,,,
<http://vocab.getty.edu/tgn/1064062>,Frutigen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064069>,Gams,,Gams,,,,,,,
<http://vocab.getty.edu/tgn/1064125>,Iseltwald,,,,,,,,,
<http://vocab.getty.edu/tgn/1064118>,Indemini,,,Indemini,,,,,,
<http://vocab.getty.edu/tgn/1064063>,Fuldera,,,,,,,,,
<http://vocab.getty.edu/tgn/1064071>,Gelfingen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064177>,Le Brassus,,,,,,,,,
<http://vocab.getty.edu/tgn/1064165>,Langenbruck,,,,,,,,,
<http://vocab.getty.edu/tgn/1064152>,Läufelfingen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064061>,Frick,,,,,,,,,
<http://vocab.getty.edu/tgn/1064124>,Intragna,,,Intragna,,,,,,
<http://vocab.getty.edu/tgn/1064148>,Konolfingen Dorf,,,,,,,,,
<http://vocab.getty.edu/tgn/1064036>,Ennenda,,,,,,,,,
<http://vocab.getty.edu/tgn/1064083>,Goldau,,,,,,,,,
<http://vocab.getty.edu/tgn/1064112>,Horw,,,,,,,,,
<http://vocab.getty.edu/tgn/1064035>,Engwilen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064139>,Kesswil,,Kesswil,,,,,,,
<http://vocab.getty.edu/tgn/1064064>,Fusio,,,Fusio,,,,,,
<http://vocab.getty.edu/tgn/1064111>,Horgen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064031>,Elm,,,,,,,,,
<http://vocab.getty.edu/tgn/1064119>,Innerferrera,,,Innerferrera,,,,,,
<http://vocab.getty.edu/tgn/1064103>,Henniez,,,,,,,,,
<http://vocab.getty.edu/tgn/7007874>,Diest,,,,,,,,,
<http://vocab.getty.edu/tgn/7008082>,Highland,Highland,,,,,,,,
<http://vocab.getty.edu/tgn/7007756>,Poznań,,,,,,,,,
<http://vocab.getty.edu/tgn/7008401>,Pontevedra,,,,,,,,,
<http://vocab.getty.edu/tgn/7007740>,Malbork,,,,,,,,,
<http://vocab.getty.edu/tgn/7008114>,Cheshire,,,,,,,,,
<http://vocab.getty.edu/tgn/7008813>,Zaragoza,,,,,,,,,
<http://vocab.getty.edu/tgn/7008300>,Eraclea,,,,,,,,,
<http://vocab.getty.edu/tgn/7008285>,Caprarola,,,,,,,,,
<http://vocab.getty.edu/tgn/7007850>,Calabria,,,Calabria,,,,,,
<http://vocab.getty.edu/tgn/7008546>,Genova,Genoa,,,Gênes,,,,,
<http://vocab.getty.edu/tgn/7008750>,Wrexham,Wrexham,,,,,,,,
<http://vocab.getty.edu/tgn/7007868>,Bruxelles,Brussels,Brüssel,,Bruxelles,,,,,
<http://vocab.getty.edu/tgn/7008625>,Santa Cruz de Tenerife,,,,,,,,,
<http://vocab.getty.edu/tgn/7008134>,West Sussex,West Sussex,,,,,,,,
<http://vocab.getty.edu/tgn/7007942>,Málaga,,,,,,,,,
<http://vocab.getty.edu/tgn/7008639>,Santander,,,,,,,,,
<http://vocab.getty.edu/tgn/7008160>,Norfolk,Norfolk,,,,,,,,
<http://vocab.getty.edu/tgn/7008911>,Asturias,,,,Asturies,,,,,
<http://vocab.getty.edu/tgn/7008539>,Conwy,Conwy,,,,,,,,
<http://vocab.getty.edu/tgn/7008180>,Wiltshire,Wiltshire,,,,,,,,
<http://vocab.getty.edu/tgn/7008636>,Annemasse,,,,,,,,,
<http://vocab.getty.edu/tgn/7008076>,Fife,Fife,,,,,,,,
<http://vocab.getty.edu/tgn/7007866>,Braine-le-Comte,,,,,,,,,
<http://vocab.getty.edu/tgn/7007887>,Gent,Ghent,Gent,,Gand,,,,,
<http://vocab.getty.edu/tgn/7008005>,Fontainebleau,,,,,,,,,
<http://vocab.getty.edu/tgn/7008547>,Buckley,Buckley,,,,,,,,
<http://vocab.getty.edu/tgn/7007877>,"Hainaut, Province de",,,,"Hainaut, Province de",,,,,
<http://vocab.getty.edu/tgn/7008742>,Cardiff,Cardiff,,,,,,,,
<http://vocab.getty.edu/tgn/7007869>,Charleroi,,,,Charleroi,,,,,
<http://vocab.getty.edu/tgn/7007732>,Lublin,,,,,,,,,
<http://vocab.getty.edu/tgn/7008166>,North Yorkshire,North Yorkshire,,,,,,,,
<http://vocab.getty.edu/tgn/7008671>,Aubusson,,,,,,,,,
<http://vocab.getty.edu/tgn/7007840>,Zamość,,,,,,,,,
<http://vocab.getty.edu/tgn/7008673>,Audincourt,,,,,,,,,
<http://vocab.getty.edu/tgn/7008799>,Avignon,,,,,,,,,
<http://vocab.getty.edu/tgn/7008132>,Gloucestershire,Gloucestershire,,,,,,,,
<http://vocab.getty.edu/tgn/7008473>,Merthyr Tydfil,Merthyr Tydfil,,,,,,,,
<http://vocab.getty.edu/tgn/7007856>,Antwerpen,Antwerp,Antwerpen,,Anvers,,,,,
<http://vocab.getty.edu/tgn/7007909>,Laguardia,,,,,,,,,
<http://vocab.getty.edu/tgn/7008591>,United Kingdom,United Kingdom,,,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,,,Соединенное Королевство Великобритании и Северной Ирландии,Reino Unido de Gran Bretaña e Irlanda del Norte,
<http://vocab.getty.edu/tgn/7008117>,Cumbria,Cumbria,,,,,,,,
<http://vocab.getty.edu/tgn/7008116>,Cornwall,Cornwall,,,,,,,,
<http://vocab.getty.edu/tgn/7008912>,Lleida,,,,,,,,,
<http://vocab.getty.edu/tgn/7007780>,Guipúzcoa,,,,,,,,,
<http://vocab.getty.edu/tgn/7008529>,Welshpool,Welshpool,,,,,,,,
<http://vocab.getty.edu/tgn/7008516>,Emilia-Romagna,,,Emilia-Romagna,,,,,,
<http://vocab.getty.edu/tgn/7008646>,Arc-et-Senans,,,,,,,,,
<http://vocab.getty.edu/tgn/7007775>,Guadix,,,,,,,,,
<http://vocab.getty.edu/tgn/7008320>,Blois,,,,,,,,,
<http://vocab.getty.edu/tgn/7008775>,Arles,,,,,,,,,
<http://vocab.getty.edu/tgn/7008136>,Greater London,Greater London,,,,,,,,
<http://vocab.getty.edu/tgn/7007752>,Pelplin,,,,,,,,,
<http://vocab.getty.edu/tgn/7008209>,Caen,,,,,,,,,
<http://vocab.getty.edu/tgn/7008153>,Kent,Kent,,,,,,,,
<http://vocab.getty.edu/tgn/7008233>,Pamplona,,,,,,,,Pamplona,
<http://vocab.getty.edu/tgn/7008356>,Besançon,,,,,,,,,
<http://vocab.getty.edu/tgn/7008143>,Herefordshire,Herefordshire,,,,,,,,
<http://vocab.getty.edu/tgn/7008507>,Brynmawr,Brynmawr,,,,,,,,
<http://vocab.getty.edu/tgn/7007867>,Brugge,Bruges,Brügge,,Bruges,,,,,
<http://vocab.getty.edu/tgn/7008175>,Surrey,Surrey,,,,,,,,
<http://vocab.getty.edu/tgn/7008118>,Derbyshire,Derbyshire,,,,,,,,
<http://vocab.getty.edu/tgn/7008178>,Warwickshire,Warwickshire,,,,,,,,
<http://vocab.getty.edu/tgn/7008104>,Buckinghamshire,Buckinghamshire,,,,,,,,
<http://vocab.getty.edu/tgn/7008645>,Arcachon,,,,,,,,,
<http://vocab.getty.edu/tgn/7007789>,Lérida,,,,,,,,,
<http://vocab.getty.edu/tgn/7007750>,Olešno,,,,,,,,,
<http://vocab.getty.edu/tgn/7007715>,Gliwice,,,,,,,,,
<http://vocab.getty.edu/tgn/7008610>,San Sebastián,,,,,,,,,
<http://vocab.getty.edu/tgn/7008647>,Arcueil,,,,,,,,,
<http://vocab.getty.edu/tgn/7008036>,Écouen,,,,,,,,,
<http://vocab.getty.edu/tgn/7008765>,Cannes,,,,,,,,,
<http://vocab.getty.edu/tgn/7008050>,Powys,Powys,,,,,,,,
<http://vocab.getty.edu/tgn/7007833>,Warszawa,Warsaw,,,,,,,,
<http://vocab.getty.edu/tgn/7008129>,East Sussex,East Sussex,,,,,,,,
<http://vocab.getty.edu/tgn/7008938>,Barbizon,,,,,,,,,
<http://vocab.getty.edu/tgn/7008131>,Essex,Essex,,,,,,,,
<http://vocab.getty.edu/tgn/7008103>,Bedfordshire,Bedfordshire,,,,,,,,
<http://vocab.getty.edu/tgn/7008221>,Beaune,,,,,,,,,
<http://vocab.getty.edu/tgn/7007949>,Leuven,Louvain,Löwen,,Louvain,,,,,
<http://vocab.getty.edu/tgn/7008369>,Aigues-Mortes,,,,,,,,,
<http://vocab.getty.edu/tgn/7007809>,Szczecin,,,,,,,,,
<http://vocab.getty.edu/tgn/7008168>,Oxfordshire,,,,,,,,,
<http://vocab.getty.edu/tgn/7007936>,Knokke-Heist,,,,,,,,,
<http://vocab.getty.edu/tgn/7008532>,Anglesey,,,,,,,,,
<http://vocab.getty.edu/tgn/7007818>,Tychy,,,,,,,,,
<http://vocab.getty.edu/tgn/7008232>,Palma de Mallorca,,,,,,,,,
<http://vocab.getty.edu/tgn/7008654>,Argentan,,,,,,,,,
<http://vocab.getty.edu/tgn/7008676>,Sevilla,Seville,,,,,,,,
<http://vocab.getty.edu/tgn/7008480>,Angers,,,,,,,,,
<http://vocab.getty.edu/tgn/7008139>,Hampshire,Hampshire,,,,,,,,
<http://vocab.getty.edu/tgn/7007981>,Châtenay-Malabry,,,,,,,,,
<http://vocab.getty.edu/tgn/7008719>,Toledo,,,,,,,,,
<http://vocab.getty.edu/tgn/7008154>,Lancashire,,,,,,,,,
<http://vocab.getty.edu/tgn/7008145>,Hertfordshire,Hertfordshire,,,,,,,,
<http://vocab.getty.edu/tgn/7008670>,Aubervilliers,,,,,,,,,
<http://vocab.getty.edu/tgn/7008019>,Argenteuil,,,,,,,,,
<http://vocab.getty.edu/tgn/7008258>,Brest,,,,,,,,,
<http://vocab.getty.edu/tgn/7007786>,Ibiza,,,,,,,,,
<http://vocab.getty.edu/tgn/1063983>,Cham,,,,,,,,,
<http://vocab.getty.edu/tgn/1063898>,Andelfingen,,,,,,,,,
<http://vocab.getty.edu/tgn/1063888>,Allschwil,,,,,,,,,
<http://vocab.getty.edu/tgn/1063896>,Amsteg,,,,,,,,,
<http://vocab.getty.edu/tgn/1063987>,Charmey,,,,,,,,,
<http://vocab.getty.edu/tgn/1063947>,Bivio,,,Bivio,,,,,,
<http://vocab.getty.edu/tgn/1064025>,Dussnang,,,,,,,,,
<http://vocab.getty.edu/tgn/1063918>,Büren an der Aare,,,,,,,,,
<http://vocab.getty.edu/tgn/1063988>,Chavornay,,,,,,,,,
<http://vocab.getty.edu/tgn/1063897>,Andeer,,,,,,,,,
<http://vocab.getty.edu/tgn/1064023>,Dongio,,,Dongio,,,,,,
<http://vocab.getty.edu/tgn/1063973>,Camedo,,,Camedo,,,,,,
<http://vocab.getty.edu/tgn/1064026>,Ebnat,,,,,,,,,
<http://vocab.getty.edu/tgn/1063974>,Campo Blenio,,,Campo Blenio,,,,,,
<http://vocab.getty.edu/tgn/1063949>,Blonay,,,,,,,,,
<http://vocab.getty.edu/tgn/1063941>,Bière,,,,,,,,,
<http://vocab.getty.edu/tgn/1063904>,Arbon,,Arbon,,,,,,,
<http://vocab.getty.edu/tgn/1063884>,Aigle,,,,Aigle,,,,,
<http://vocab.getty.edu/tgn/1063928>,Baulmes,,,,,,,,,
<http://vocab.getty.edu/tgn/1063933>,Beinwil am See,,,,,,,,,
<http://vocab.getty.edu/tgn/1063958>,Breno,,,Breno,,,,,,
<http://vocab.getty.edu/tgn/1063916>,Bätterkinden,,,,,,,,,
<http://vocab.getty.edu/tgn/1063996>,Collombey,,,,Collombey,,,,,
<http://vocab.getty.edu/tgn/1063931>,Beckenried,,,,,,,,,
<http://vocab.getty.edu/tgn/1063986>,Chancy,,,,Chancy,,,,,
<http://vocab.getty.edu/tgn/1064006>,Crassier,,,,Crassier,,,,,
<http://vocab.getty.edu/tgn/1063934>,Bellelay,,,,,,,,,
<http://vocab.getty.edu/tgn/1063953>,Bonfol,,,,,,,,,
<http://vocab.getty.edu/tgn/1063902>,Aquila,,,Aquila,,,,,,
<http://vocab.getty.edu/tgn/1064002>,Cossonay,,,,,,,,,
<http://vocab.getty.edu/tgn/1063966>,Brunni,,,,,,,,,
<http://vocab.getty.edu/tgn/1063979>,Celerina,,,Celerina,,,,,,
<http://vocab.getty.edu/tgn/1063903>,Arbedo,,,,,,,,,
<http://vocab.getty.edu/tgn/1064007>,Cresta,,,,,,,,,
<http://vocab.getty.edu/tgn/1063969>,Buchs,,,,,,,,,
<http://vocab.getty.edu/tgn/1064016>,Dielsdorf,,,,,,,,,
<http://vocab.getty.edu/tgn/1063948>,Blatten,,Blatten,,,,,,,
<http://vocab.getty.edu/tgn/1063879>,Adliswil,,,,,,,,,
<http://vocab.getty.edu/tgn/1063967>,Brusio,,,Brusio,,,,,,
<http://vocab.getty.edu/tgn/1063923>,Balgach,,Balgach,,,,,,,
<http://vocab.getty.edu/tgn/1063909>,Arosa,,,,,,,,,
<http://vocab.getty.edu/tgn/1063942>,Biasca,,,Biasca,,,,,,
<http://vocab.getty.edu/tgn/1064027>,Echallens,,,,,,,,,
<http://vocab.getty.edu/tgn/1063956>,Braunwald,,,,,,,,,
<http://vocab.getty.edu/tgn/1064022>,Dombresson,,,,,,,,,
<http://vocab.getty.edu/tgn/1063945>,Binningen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064021>,Domat/Ems,,Domat/Ems,,,,,,,
<http://vocab.getty.edu/tgn/1063982>,Châtel-Saint-Denis,,,,,,,,,
<http://vocab.getty.edu/tgn/1063937>,Bergün,,,,,,,,,
<http://vocab.getty.edu/tgn/1064028>,Eglisau,,,,,,,,,
<http://vocab.getty.edu/tgn/1063989>,Cheseaux,,,,,,,,,
<http://vocab.getty.edu/tgn/1063882>,Affoltern,Affoltern,,,,,,,,
<http://vocab.getty.edu/tgn/1063952>,Boncourt,,,,,,,,,
<http://vocab.getty.edu/tgn/1063930>,Beatenberg,,,,,,,,,
<http://vocab.getty.edu/tgn/1063878>,Adelboden,,,,,,,,,
<http://vocab.getty.edu/tgn/1063901>,Apples,,,,,,,,,
<http://vocab.getty.edu/tgn/1063995>,Cimalmotto,,,Cimalmotto,,,,,,
