Concept,Label,@en,@de,@it,@fr,@hu,@ca,@ru,@es,@el-latn
<http://vocab.getty.edu/tgn/1044499>,Domegge di Cadore,,,,,,,,,
<http://vocab.getty.edu/tgn/1039309>,Grünstadt,,,,,,,,,
<http://vocab.getty.edu/tgn/1045827>,Paesana,,,,,,,,,
<http://vocab.getty.edu/tgn/1044679>,Forte dei Marmi,,,,,,,,,
<http://vocab.getty.edu/tgn/1039869>,Kirchen,,,,,,,,,
<http://vocab.getty.edu/tgn/1039957>,Kusel,,,,,,,,,
<http://vocab.getty.edu/tgn/1033185>,Franconville,,,,,,,,,
<http://vocab.getty.edu/tgn/1042081>,Kifisiá,,,,,,,,,"""Kifisiá""@el-latn"
<http://vocab.getty.edu/tgn/1005645>,Spandau,,,,,,,,,
<http://vocab.getty.edu/tgn/1000462>,Uppsala,,,,,,,,,
<http://vocab.getty.edu/tgn/1003666>,Wirral,"""Wirral""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1000074>,Ellás,"""Greece""@en","""Griechenland""@de","""Grecia""@it","""Grèce""@fr",,,"""Греция""@ru","""Grecia""@es","""Ellás""@el-latn"
<http://vocab.getty.edu/tgn/1000376>,Galaţi,,,,,,,,,
<http://vocab.getty.edu/tgn/1000095>,España,"""Spain""@en","""Spanien""@de",,"""Espagne""@fr",,,"""Испания""@ru","""España""@es",
<http://vocab.getty.edu/tgn/1003489>,Potenza,,,,,,,,,
<http://vocab.getty.edu/tgn/1000088>,Norge,"""Norway""@en","""Norwegen""@de","""Norvegia""@it","""Norvège""@fr",,,"""Норвегия""@ru","""Noruega""@es",
<http://vocab.getty.edu/tgn/1000097>,Sverige,"""Sweden""@en","""Schweden""@de","""Svezia""@it","""Suède""@fr",,,"""Швеция""@ru","""Suecia""@es",
<http://vocab.getty.edu/tgn/1000466>,Västernorrland,,,,,,,,,
<http://vocab.getty.edu/tgn/1001052>,İstanbul,,,,,,,,,
<http://vocab.getty.edu/tgn/1000394>,București,,,,,,,,,
<http://vocab.getty.edu/tgn/1003428>,Alessandria,,,,,,,,,
<http://vocab.getty.edu/tgn/1003396>,Odes'ka Oblast',,,,,,,,,
<http://vocab.getty.edu/tgn/1000336>,Alba,,,,,,,,,
<http://vocab.getty.edu/tgn/1000063>,België,"""Belgium""@en","""Belgien""@de","""Belgio""@it","""Belgique""@fr",,,"""Бельгия""@ru","""Bélgica""@es",
<http://vocab.getty.edu/tgn/1003182>,Koblenz,,,,,,,,,
<http://vocab.getty.edu/tgn/1025375>,Absam,,,,,,,,,
<http://vocab.getty.edu/tgn/1003430>,Aosta,,,,,,,,,
<http://vocab.getty.edu/tgn/1003361>,Kharkivs'ka Oblast',,,,,,,,,
<http://vocab.getty.edu/tgn/1005279>,Orpington,"""Orpington""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1025430>,Bad-Hall,,,,,,,,,
<http://vocab.getty.edu/tgn/1003407>,Samarskaya Oblast’,,,,,,,"""Samara""@ru-latn",,
<http://vocab.getty.edu/tgn/1000062>,Österreich,"""Austria""@en","""Österreich""@de",,"""Autriche""@fr",,,"""Австрия""@ru","""Austria""@es",
<http://vocab.getty.edu/tgn/1000078>,Ireland,"""Ireland""@en","""Irland""@de",,"""Irlande""@fr",,,"""Ирландия""@ru","""Irlanda""@es",
<http://vocab.getty.edu/tgn/1000066>,Danmark,"""Denmark""@en","""Dänemark""@de","""Danimarca""@it","""Danemark""@fr",,,"""Дания""@ru","""Dinamarca""@es",
<http://vocab.getty.edu/tgn/1004692>,Hook,"""Hook""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1005309>,Pankow,,,,,,,,,
<http://vocab.getty.edu/tgn/1001732>,Palermo,,,,,,,,,
<http://vocab.getty.edu/tgn/1000091>,România,"""Romania""@en","""Rumänien""@de",,"""Roumanie""@fr",,,"""Румыния""@ru","""Rumania""@es",
<http://vocab.getty.edu/tgn/1003314>,Krasnoyarskiy Kray,,,,,,,,,
<http://vocab.getty.edu/tgn/1005422>,Reinickendorf,,,,,,,,,
<http://vocab.getty.edu/tgn/1000443>,Sibiu,,,,,,,,,
<http://vocab.getty.edu/tgn/1003611>,Kirklees,"""Kirklees""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1004847>,Kensington and Chelsea,"""Kensington and Chelsea""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1003614>,Liverpool,"""Liverpool""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1003460>,Grosseto,,,,,,,,,
<http://vocab.getty.edu/tgn/1003429>,Ancona,,,,,,,,,
<http://vocab.getty.edu/tgn/1003432>,Ascoli Piceno,,,,,,,,,
<http://vocab.getty.edu/tgn/1003459>,Gorizia,,,,,,,,,
<http://vocab.getty.edu/tgn/1000374>,Gävleborg,,,,,,,,,
<http://vocab.getty.edu/tgn/1025423>,Bürs,,,,,,,,,
<http://vocab.getty.edu/tgn/1001647>,Castilla-La Mancha,,,,,,,,,
<http://vocab.getty.edu/tgn/1000882>,Lisboa,,,,,,,,,
<http://vocab.getty.edu/tgn/1003505>,Trieste,,,,,,,,,
<http://vocab.getty.edu/tgn/1003510>,Vercelli,,,,,,,,,
<http://vocab.getty.edu/tgn/1000403>,Dalarna,,,,,,,,,
<http://vocab.getty.edu/tgn/1003398>,Orenburgskaya Oblast',,,,,,,"""Orenburgskaya Oblast'""@ru-latn",,
<http://vocab.getty.edu/tgn/1004968>,Lichtenberg,,,,,,,,,
<http://vocab.getty.edu/tgn/1003397>,Orlovskaya Oblast’,"""Orel""@en",,,,,,"""Oryol""@ru-latn",,
<http://vocab.getty.edu/tgn/1003473>,Massa-Carrara,,,,,,,,,
<http://vocab.getty.edu/tgn/1005382>,Purley,"""Purley""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1001622>,Agrigento,,,,,,,,,
<http://vocab.getty.edu/tgn/1000216>,Polynésie française,"""French Polynesia""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1004664>,Hillegersberg,,,,,,,,,
<http://vocab.getty.edu/tgn/1003373>,Irkutskaya Oblast',,,,,,,,,
<http://vocab.getty.edu/tgn/1003408>,Saratovskaya Oblast',,,,,,,"""Saratov""@ru-latn",,
<http://vocab.getty.edu/tgn/1003600>,Halton,"""Halton""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1000344>,Bihor,,,,,,,,,
<http://vocab.getty.edu/tgn/1005101>,Mitte,,,,,,,,,
<http://vocab.getty.edu/tgn/1000440>,Sør-Trøndelag,,,,,,,,,
<http://vocab.getty.edu/tgn/1003573>,Calderdale,"""Calderdale""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1000184>,Réunion,"""Reunion""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1025397>,Amstetten,,,,,,,,,
<http://vocab.getty.edu/tgn/1003450>,Cosenza,,,,,,,,,
<http://vocab.getty.edu/tgn/1003447>,Catanzaro,,,,,,,,,
<http://vocab.getty.edu/tgn/1003405>,Rostovskaya Oblast’,,,,,,,"""Rostov""@ru-latn",,
<http://vocab.getty.edu/tgn/1000090>,Portugal,"""Portugal""@en",,,"""Portugal""@fr",,,"""Португалия""@ru","""Portugal""@es",
<http://vocab.getty.edu/tgn/1025426>,Bad Aussee,,,,,,,,,
<http://vocab.getty.edu/tgn/1003566>,Bolton,"""Bolton""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1025432>,Bad Ischl,,,,,,,,,
<http://vocab.getty.edu/tgn/1005180>,Neukölln,,,,,,,,,
<http://vocab.getty.edu/tgn/1001762>,Trapani,,,,,,,,,
<http://vocab.getty.edu/tgn/1003508>,Varese,,,,,,,,,
<http://vocab.getty.edu/tgn/1003468>,Lecce,,,,,,,,,
<http://vocab.getty.edu/tgn/1003523>,Jihomoravský Kraj,,,,,,,,,
<http://vocab.getty.edu/tgn/1003506>,Udine,,,,,,,,,
<http://vocab.getty.edu/tgn/1003530>,Středočeský Kraj,"""Středočeský""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1003656>,Trafford,"""Trafford""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1005654>,Stadlau,,,,,,,,,
<http://vocab.getty.edu/tgn/1001651>,Catania,,,,,,,,,
<http://vocab.getty.edu/tgn/1001641>,Cagliari,,,,,,,,,
<http://vocab.getty.edu/tgn/1000396>,Jönköping,,,,,,,,,
<http://vocab.getty.edu/tgn/1000351>,Brașov,,,,,,,,,
<http://vocab.getty.edu/tgn/1000070>,France,"""France""@en","""Frankreich""@de","""Francia""@it","""France""@fr",,,"""Франция""@ru","""Francia""@es",
<http://vocab.getty.edu/tgn/1001439>,Murcia,,,,,,,,,
<http://vocab.getty.edu/tgn/1025441>,Badgastein,,,,,,,,,
<http://vocab.getty.edu/tgn/1003381>,"Krym, Avtonomna Respublika",,,,,,,,,
<http://vocab.getty.edu/tgn/1001780>,Česko,"""Czech Republic""@en",,,"""République tchèque""@fr",,,"""Чешская Республика""@ru","""República Checa""@es",
<http://vocab.getty.edu/tgn/1025438>,Bad Vöslau,,,,,,,,,
<http://vocab.getty.edu/tgn/1016610>,Pointe-à-Pitre,,,,,,,,,
<http://vocab.getty.edu/tgn/1000102>,Srbija-Crna Gora,"""Serbia and Montenegro""@en","""Serbien und Montenegro""@de",,"""Serbie-et-Monténégro""@fr",,,,"""Serbia y Montenegro""@es",
<http://vocab.getty.edu/tgn/1000069>,Suomi,"""Finland""@en",,,"""Finlande""@fr",,,"""Финляндия""@ru","""Finlandia""@es",
<http://vocab.getty.edu/tgn/1003640>,Salford,"""Salford""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1001643>,Caltanissetta,,,,,,,,,
<http://vocab.getty.edu/tgn/1001753>,Siracusa,,,,,,,,,
<http://vocab.getty.edu/tgn/1003478>,Novara,,,,,,,,,
<http://vocab.getty.edu/tgn/1003483>,Pesaro e Urbino,,,,,,,,,
<http://vocab.getty.edu/tgn/1003440>,Bolzano,,,,,,,,,
<http://vocab.getty.edu/tgn/1000080>,Italia,"""Italy""@en","""Italien""@de","""Italia""@it","""Italie""@fr",,,"""Италия""@ru","""Italia""@es",
<http://vocab.getty.edu/tgn/1064068>,Gais,,"""Gais""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064146>,Kloten,,,,,,,,,
<http://vocab.getty.edu/tgn/1064158>,La Roche,,,,,,,,,
<http://vocab.getty.edu/tgn/1064153>,Lützelflüh,,,,,,,,,
<http://vocab.getty.edu/tgn/1064157>,La Punt,,,,,,,,,
<http://vocab.getty.edu/tgn/1064154>,La Brévine,,,,,,,,,
<http://vocab.getty.edu/tgn/1064078>,Giswil,,,,,,,,,
<http://vocab.getty.edu/tgn/1064167>,Langnau im Emmental,,,,,,,,,
<http://vocab.getty.edu/tgn/1064107>,Hindelbank,,,,,,,,,
<http://vocab.getty.edu/tgn/1064172>,Laufenburg,,,,,,,,,
<http://vocab.getty.edu/tgn/1064164>,Landquart,,,,,,,,,
<http://vocab.getty.edu/tgn/1064100>,Hallau,,,,,,,,,
<http://vocab.getty.edu/tgn/1064070>,Gandria,,,"""Gandria""@it",,,,,,
<http://vocab.getty.edu/tgn/1064029>,Egnach,,"""Egnach""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064120>,Innerthal,,"""Innerthal""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064038>,Eriswil,,,,,,,,,
<http://vocab.getty.edu/tgn/1064143>,Kleinlützel,,,,,,,,,
<http://vocab.getty.edu/tgn/1064110>,Hochdorf,,,,,,,,,
<http://vocab.getty.edu/tgn/1064145>,Klosters Platz,,,,,,,,,
<http://vocab.getty.edu/tgn/1064085>,Gordola,,,"""Gordola""@it",,,,,,
<http://vocab.getty.edu/tgn/1064093>,Grolley,,,,,,,,,
<http://vocab.getty.edu/tgn/1064076>,Gerzensee,,,,,,,,,
<http://vocab.getty.edu/tgn/1064090>,Grenchen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064098>,Guttannen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064150>,Kriens,,,,,,,,,
<http://vocab.getty.edu/tgn/1064051>,Filzbach,,"""Filzbach""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064133>,Küssnacht,,,,,,,,,
<http://vocab.getty.edu/tgn/1064115>,Huttwil,,,,,,,,,
<http://vocab.getty.edu/tgn/1064105>,Herznach,,,,,,,,,
<http://vocab.getty.edu/tgn/1064075>,Gersau,,,,,,,,,
<http://vocab.getty.edu/tgn/1064081>,Glattfelden,,,,,,,,,
<http://vocab.getty.edu/tgn/1064170>,Latterbach,,,,,,,,,
<http://vocab.getty.edu/tgn/1064102>,Heiden,,"""Heiden""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064180>,Le Locle,,,,,,,,,
<http://vocab.getty.edu/tgn/1064097>,Gsteig,,,,,,,,,
<http://vocab.getty.edu/tgn/1064065>,Gänsbrunnen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064138>,Kerzers,,,,,,,,,
<http://vocab.getty.edu/tgn/1064109>,Hinwil,,"""Hinwil""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064048>,Feldis,,,,,,,,,
<http://vocab.getty.edu/tgn/1064056>,Flims,,,,,,,,,
<http://vocab.getty.edu/tgn/1064175>,Lauterbrunnen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064121>,Innertkirchen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064144>,Klingnau,,,,,,,,,
<http://vocab.getty.edu/tgn/1064072>,Gelterkinden,,,,,,,,,
<http://vocab.getty.edu/tgn/1064128>,Jenaz,,,,,,,,,
<http://vocab.getty.edu/tgn/1064047>,Faido,,,"""Faido""@it",,,,,,
<http://vocab.getty.edu/tgn/1064131>,Küblis,,,,,,,,,
<http://vocab.getty.edu/tgn/1064089>,Greifensee,,,,,,,,,
<http://vocab.getty.edu/tgn/1064091>,Grimmialp,,,,,,,,,
<http://vocab.getty.edu/tgn/1064054>,Flawil,,"""Flawil""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064116>,Il Fuorn,,,,,,,,,
<http://vocab.getty.edu/tgn/1064130>,Köniz,,,,,,,,,
<http://vocab.getty.edu/tgn/1064033>,Emmenbrücke,,,,,,,,,
<http://vocab.getty.edu/tgn/1064067>,Gadmen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064032>,Embrach,,,,,,,,,
<http://vocab.getty.edu/tgn/1064094>,Gross Höchstetten,,,,,,,,,
<http://vocab.getty.edu/tgn/1064057>,Flums,,"""Flums""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064079>,Gland,,,,"""Gland""@fr",,,,,
<http://vocab.getty.edu/tgn/1064159>,La Sagne,,,,,,,,,
<http://vocab.getty.edu/tgn/1064137>,Kandersteg,,,,,,,,,
<http://vocab.getty.edu/tgn/1064040>,Ermatingen,,"""Ermatingen""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064043>,Estavayer-le-Lac,,,,,,,,,
<http://vocab.getty.edu/tgn/1064099>,Gwatt,,,,,,,,,
<http://vocab.getty.edu/tgn/1064136>,Kaltbrunn,,"""Kaltbrunn""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064086>,Gossau,,"""Gossau""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064104>,Herisau,,"""Herisau""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064092>,Grindelwald,,,,,,,,,
<http://vocab.getty.edu/tgn/1064114>,Hundwil,,"""Hundwil""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064134>,Küttigen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064108>,Hinterrhein,,,,,,,,,
<http://vocab.getty.edu/tgn/1064055>,Fleurier,,,,,,,,,
<http://vocab.getty.edu/tgn/1064168>,Langwies,,,,,,,,,
<http://vocab.getty.edu/tgn/1064039>,Erlach,,,,,,,,,
<http://vocab.getty.edu/tgn/1064074>,Gerlafingen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064171>,Laufen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064140>,Kiental,,,,,,,,,
<http://vocab.getty.edu/tgn/1064059>,Freienbach,,"""Freienbach""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064126>,Isone,,,"""Isone""@it",,,,,,
<http://vocab.getty.edu/tgn/1064062>,Frutigen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064069>,Gams,,"""Gams""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064125>,Iseltwald,,,,,,,,,
<http://vocab.getty.edu/tgn/1064118>,Indemini,,,"""Indemini""@it",,,,,,
<http://vocab.getty.edu/tgn/1064063>,Fuldera,,,,,,,,,
<http://vocab.getty.edu/tgn/1064071>,Gelfingen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064177>,Le Brassus,,,,,,,,,
<http://vocab.getty.edu/tgn/1064165>,Langenbruck,,,,,,,,,
<http://vocab.getty.edu/tgn/1064152>,Läufelfingen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064061>,Frick,,,,,,,,,
<http://vocab.getty.edu/tgn/1064124>,Intragna,,,"""Intragna""@it",,,,,,
<http://vocab.getty.edu/tgn/1064148>,Konolfingen Dorf,,,,,,,,,
<http://vocab.getty.edu/tgn/1064036>,Ennenda,,,,,,,,,
<http://vocab.getty.edu/tgn/1064083>,Goldau,,,,,,,,,
<http://vocab.getty.edu/tgn/1064112>,Horw,,,,,,,,,
<http://vocab.getty.edu/tgn/1064035>,Engwilen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064139>,Kesswil,,"""Kesswil""@de",,,,,,,
<http://vocab.getty.edu/tgn/1064064>,Fusio,,,"""Fusio""@it",,,,,,
<http://vocab.getty.edu/tgn/1064111>,Horgen,,,,,,,,,
<http://vocab.getty.edu/tgn/1064031>,Elm,,,,,,,,,
<http://vocab.getty.edu/tgn/1064119>,Innerferrera,,,"""Innerferrera""@it",,,,,,
<http://vocab.getty.edu/tgn/1064103>,Henniez,,,,,,,,,
<http://vocab.getty.edu/tgn/1025444>,Berndorf,,,,,,,,,
<http://vocab.getty.edu/tgn/1031304>,Hyvinkää,,,,,,,,,
<http://vocab.getty.edu/tgn/1027507>,Rudolfov,,,,,,,,,
<http://vocab.getty.edu/tgn/1027344>,Litvínov,,,,,,,,,
<http://vocab.getty.edu/tgn/1025990>,Rauris,,,,,,,,,
<http://vocab.getty.edu/tgn/1028579>,Bowdon,"""Bowdon""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1025751>,Längenfeld,,,,,,,,,
<http://vocab.getty.edu/tgn/1025644>,Hard,,,,,,,,,
<http://vocab.getty.edu/tgn/1027299>,Kraslice,,,,,,,,,
<http://vocab.getty.edu/tgn/1026013>,Saalfelden,,,,,,,,,
<http://vocab.getty.edu/tgn/1025669>,Hohenems,,,,,,,,,
<http://vocab.getty.edu/tgn/1025533>,Felixdorf,,,,,,,,,
<http://vocab.getty.edu/tgn/1025956>,Pottendorf,,,,,,,,,
<http://vocab.getty.edu/tgn/1030739>,Staplehurst,"""Staplehurst""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1029764>,Knebworth,"""Knebworth""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1028299>,Altrincham,"""Altrincham""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1025948>,Pians,,,,,,,,,
<http://vocab.getty.edu/tgn/1025649>,Heidenreichstein,,,,,,,,,
<http://vocab.getty.edu/tgn/1026247>,Wolfurt,,,,,,,,,
<http://vocab.getty.edu/tgn/1029577>,Hoddesdon,,,,,,,,,
<http://vocab.getty.edu/tgn/1030747>,Stockbridge,"""Stockbridge""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1027461>,Pelhřimov,,,,,,,,,
<http://vocab.getty.edu/tgn/1030472>,Rugby,"""Rugby""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1030297>,Pendlebury,"""Pendlebury""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1026018>,Sankt Andrä,,,,,,,,,
<http://vocab.getty.edu/tgn/1025900>,Obergurgl,,,,,,,,,
<http://vocab.getty.edu/tgn/1026051>,Sankt Veit an der Glan,,,,,,,,,
<http://vocab.getty.edu/tgn/1026030>,Sankt Johann im Pongau,,,,,,,,,
<http://vocab.getty.edu/tgn/1029037>,Denham,,,,,,,,,
<http://vocab.getty.edu/tgn/1027169>,Dvůr Králové,,,,,,,,,
<http://vocab.getty.edu/tgn/1030744>,Stevenage,"""Stevenage""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1027273>,Kladno,,,,,,,,,
