Concept,Label,@en,@de,@it,@fr,@hu,@ca,@ru,@es,@el-latn,Lat,Long
<http://vocab.getty.edu/tgn/1000066>,Danmark,"""Denmark""@en","""Dänemark""@de","""Danimarca""@it","""Danemark""@fr",,,"""Дания""@ru","""Dinamarca""@es",,56,10
<http://vocab.getty.edu/tgn/1004692>,Hook,"""Hook""@en",,,,,,,,,51.3667,-0.3
<http://vocab.getty.edu/tgn/1005309>,Pankow,,,,,,,,,,52.5667,13.4
<http://vocab.getty.edu/tgn/1001732>,Palermo,,,,,,,,,,37.816667,13.583333
<http://vocab.getty.edu/tgn/1000091>,România,"""Romania""@en","""Rumänien""@de",,"""Roumanie""@fr",,,"""Румыния""@ru","""Rumania""@es",,46,25
<http://vocab.getty.edu/tgn/1003314>,Krasnoyarskiy Kray,,,,,,,,,,58,93
<http://vocab.getty.edu/tgn/1005422>,Reinickendorf,,,,,,,,,,52.5833,13.3333
<http://vocab.getty.edu/tgn/1000443>,Sibiu,,,,,,,,,,45.9167,24.25
<http://vocab.getty.edu/tgn/1003611>,Kirklees,"""Kirklees""@en",,,,,,,,,53.5833,-1.8333
<http://vocab.getty.edu/tgn/1004847>,Kensington and Chelsea,"""Kensington and Chelsea""@en",,,,,,,,,51.45,-0.1833
<http://vocab.getty.edu/tgn/1003614>,Liverpool,"""Liverpool""@en",,,,,,,,,53.4167,-3
<http://vocab.getty.edu/tgn/1003460>,Grosseto,,,,,,,,,,42.833333,11.25
<http://vocab.getty.edu/tgn/1003429>,Ancona,,,,,,,,,,43.55,13.166667
<http://vocab.getty.edu/tgn/1003432>,Ascoli Piceno,,,,,,,,,,43.016667,13.566667
<http://vocab.getty.edu/tgn/1003459>,Gorizia,,,,,,,,,,45.916667,13.5
<http://vocab.getty.edu/tgn/1000374>,Gävleborg,,,,,,,,,,61.5,16.25
<http://vocab.getty.edu/tgn/1025423>,Bürs,,,,,,,,,,47.15,9.8167
<http://vocab.getty.edu/tgn/1001647>,Castilla-La Mancha,,,,,,,,,,39.5,-3
<http://vocab.getty.edu/tgn/1000882>,Lisboa,,,,,,,,,,39,-9.133333
<http://vocab.getty.edu/tgn/1003505>,Trieste,,,,,,,,,,45.333333,13.416667
<http://vocab.getty.edu/tgn/1003510>,Vercelli,,,,,,,,,,45.616667,8.166667
<http://vocab.getty.edu/tgn/1000403>,Dalarna,,,,,,,,,,61,14.5
<http://vocab.getty.edu/tgn/1003398>,Orenburgskaya Oblast',,,,,,,"""Orenburgskaya Oblast'""@ru-latn",,,52,56
<http://vocab.getty.edu/tgn/1004968>,Lichtenberg,,,,,,,,,,52.5167,13.4833
<http://vocab.getty.edu/tgn/1003397>,Orlovskaya Oblast’,"""Orel""@en",,,,,,"""Oryol""@ru-latn",,,53,36.416
<http://vocab.getty.edu/tgn/1003473>,Massa-Carrara,,,,,,,,,,44.25,10.05
<http://vocab.getty.edu/tgn/1005382>,Purley,"""Purley""@en",,,,,,,,,51.3333,-0.1167
<http://vocab.getty.edu/tgn/1001622>,Agrigento,,,,,,,,,,37.45,13.5
<http://vocab.getty.edu/tgn/1000216>,Polynésie française,"""French Polynesia""@en",,,,,,,,,-15,-140
<http://vocab.getty.edu/tgn/1004664>,Hillegersberg,,,,,,,,,,51.9667,4.5167
<http://vocab.getty.edu/tgn/1003373>,Irkutskaya Oblast',,,,,,,,,,56,106
<http://vocab.getty.edu/tgn/1003408>,Saratovskaya Oblast',,,,,,,"""Saratov""@ru-latn",,,51.5,47
<http://vocab.getty.edu/tgn/1003600>,Halton,"""Halton""@en",,,,,,,,,53.3333,-2.7
<http://vocab.getty.edu/tgn/1000344>,Bihor,,,,,,,,,,47,22.3333
<http://vocab.getty.edu/tgn/1005101>,Mitte,,,,,,,,,,52.55,13.3667
<http://vocab.getty.edu/tgn/1000440>,Sør-Trøndelag,,,,,,,,,,63,10.6667
<http://vocab.getty.edu/tgn/1003573>,Calderdale,"""Calderdale""@en",,,,,,,,,53.75,-2
<http://vocab.getty.edu/tgn/1000184>,Réunion,"""Reunion""@en",,,,,,,,,-21.1,55.6
<http://vocab.getty.edu/tgn/1025397>,Amstetten,,,,,,,,,,48.1333,14.8667
<http://vocab.getty.edu/tgn/1003450>,Cosenza,,,,,,,,,,39.466667,16.416667
<http://vocab.getty.edu/tgn/1003447>,Catanzaro,,,,,,,,,,38.9,16.6
<http://vocab.getty.edu/tgn/1003405>,Rostovskaya Oblast’,,,,,,,"""Rostov""@ru-latn",,,47.440322,41.080829
<http://vocab.getty.edu/tgn/1000090>,Portugal,"""Portugal""@en",,,"""Portugal""@fr",,,"""Португалия""@ru","""Portugal""@es",,39.5,-8
<http://vocab.getty.edu/tgn/1025426>,Bad Aussee,,,,,,,,,,47.6167,13.7833
<http://vocab.getty.edu/tgn/1003566>,Bolton,"""Bolton""@en",,,,,,,,,53.5833,-2.4167
<http://vocab.getty.edu/tgn/1025432>,Bad Ischl,,,,,,,,,,47.7167,13.6333
<http://vocab.getty.edu/tgn/1005180>,Neukölln,,,,,,,,,,52.483333,13.45
<http://vocab.getty.edu/tgn/1001762>,Trapani,,,,,,,,,,37.833333,12.666667
<http://vocab.getty.edu/tgn/1003508>,Varese,,,,,,,,,,45.8,8.8
<http://vocab.getty.edu/tgn/1003468>,Lecce,,,,,,,,,,40.216667,18.166667
<http://vocab.getty.edu/tgn/1003523>,Jihomoravský Kraj,,,,,,,,,,49.1667,16.583
<http://vocab.getty.edu/tgn/1003506>,Udine,,,,,,,,,,46.166667,13
<http://vocab.getty.edu/tgn/1003530>,Středočeský Kraj,"""Středočeský""@en",,,,,,,,,50.083,14.4167
<http://vocab.getty.edu/tgn/1003656>,Trafford,"""Trafford""@en",,,,,,,,,53.4,-2.35
<http://vocab.getty.edu/tgn/1005654>,Stadlau,,,,,,,,,,48.2333,16.4667
<http://vocab.getty.edu/tgn/1001651>,Catania,,,,,,,,,,37.383333,14.666667
<http://vocab.getty.edu/tgn/1001641>,Cagliari,,,,,,,,,,39.5,8.75
<http://vocab.getty.edu/tgn/1000396>,Jönköping,,,,,,,,,,57.5,14.5
<http://vocab.getty.edu/tgn/1000351>,Brașov,,,,,,,,,,45.75,25.3333
<http://vocab.getty.edu/tgn/1000070>,France,"""France""@en","""Frankreich""@de","""Francia""@it","""France""@fr",,,"""Франция""@ru","""Francia""@es",,46,2
<http://vocab.getty.edu/tgn/1001439>,Murcia,,,,,,,,,,37.9167,-1.5
<http://vocab.getty.edu/tgn/1025441>,Badgastein,,,,,,,,,,47.1167,13.15
<http://vocab.getty.edu/tgn/1003381>,"Krym, Avtonomna Respublika",,,,,,,,,,45,34
<http://vocab.getty.edu/tgn/1001780>,Česko,"""Czech Republic""@en",,,"""République tchèque""@fr",,,"""Чешская Республика""@ru","""República Checa""@es",,49.75,15
<http://vocab.getty.edu/tgn/1025438>,Bad Vöslau,,,,,,,,,,47.9667,16.2333
<http://vocab.getty.edu/tgn/1016610>,Pointe-à-Pitre,,,,,,,,,,16.2333,-61.5333
<http://vocab.getty.edu/tgn/1000102>,Srbija-Crna Gora,"""Serbia and Montenegro""@en","""Serbien und Montenegro""@de",,"""Serbie-et-Monténégro""@fr",,,,"""Serbia y Montenegro""@es",,44,21
<http://vocab.getty.edu/tgn/1000069>,Suomi,"""Finland""@en",,,"""Finlande""@fr",,,"""Финляндия""@ru","""Finlandia""@es",,64,26
<http://vocab.getty.edu/tgn/1003640>,Salford,"""Salford""@en",,,,,,,,,53.5,-2.2667
<http://vocab.getty.edu/tgn/1001643>,Caltanissetta,,,,,,,,,,37.4,14.166667
<http://vocab.getty.edu/tgn/1001753>,Siracusa,,,,,,,,,,37.05,15
<http://vocab.getty.edu/tgn/1003478>,Novara,,,,,,,,,,45.966667,8.4
<http://vocab.getty.edu/tgn/1003483>,Pesaro e Urbino,,,,,,,,,,43.666667,12.633333
<http://vocab.getty.edu/tgn/1003440>,Bolzano,,,,,,,,,,46.716667,11.5
<http://vocab.getty.edu/tgn/1000080>,Italia,"""Italy""@en","""Italien""@de","""Italia""@it","""Italie""@fr",,,"""Италия""@ru","""Italia""@es",,42.8333,12.8333
<http://vocab.getty.edu/tgn/1063676>,Strömstad,,,,,,,,,,58.9333,11.1833
<http://vocab.getty.edu/tgn/1046476>,San Cataldo,,,,,,,,,,37.483333,13.983333
<http://vocab.getty.edu/tgn/1049533>,Tczew,,,,,,,,,,54.0833,18.7667
<http://vocab.getty.edu/tgn/1047597>,Aardenburg,,,,,,,,,,51.283333,3.45
<http://vocab.getty.edu/tgn/1062213>,Marbella,,,,,,,,,,36.516667,-4.883333
<http://vocab.getty.edu/tgn/1063301>,Lidingö,,,,,,,,,,59.3667,18.1667
<http://vocab.getty.edu/tgn/1063143>,Hudiksvall,,,,,,,,,,61.75,17.1667
<http://vocab.getty.edu/tgn/1051248>,Chelyabinsk,,,,,,,,,,55.2,61.4167
<http://vocab.getty.edu/tgn/1059674>,Spitak,"""Spitak""@en",,,,,,,,,40.837,44.271
<http://vocab.getty.edu/tgn/1046831>,Segrate,,,,,,,,,,45.483333,9.283333
<http://vocab.getty.edu/tgn/1063688>,Sundsvall,,,,,,,,,,62.3667,17.3333
<http://vocab.getty.edu/tgn/1047683>,Brunssum,,,,,,,,,,50.95,5.966667
<http://vocab.getty.edu/tgn/1049401>,Racibórz,,,,,,,,,,50.0833,18.1667
<http://vocab.getty.edu/tgn/1058004>,Orel,,,,,,,,,,52.9667,36.0667
<http://vocab.getty.edu/tgn/1058952>,Rodionovo-Nesvetayskaya,,,,,,,,,,47.6,39.7
<http://vocab.getty.edu/tgn/1047706>,De Lier,,,,,,,,,,51.966667,4.266667
<http://vocab.getty.edu/tgn/1058042>,Orsk,,,,,,,,,,51.2167,58.5833
<http://vocab.getty.edu/tgn/1050641>,East Kilbride,"""East Kilbride""@en",,,,,,,,,55.766667,-4.166667
<http://vocab.getty.edu/tgn/1046276>,Riccione,,,,,,,,,,43.983333,12.65
<http://vocab.getty.edu/tgn/1047851>,Hoek van Holland,,,,,,,,,,51.983333,4.133333
<http://vocab.getty.edu/tgn/1048536>,Finse,,,,,,,,,,60.6,7.5
<http://vocab.getty.edu/tgn/1063872>,Aadorf,,"""Aadorf""@de",,,,,,,,47.49397,8.89777
<http://vocab.getty.edu/tgn/1047536>,Schaan,,,,,,,,,,47.1667,9.5167
<http://vocab.getty.edu/tgn/1048868>,Żukowo,,,,,,,,,,54.35,18.3667
<http://vocab.getty.edu/tgn/1063627>,Sollentuna,,,,,,,,,,59.4333,17.9333
<http://vocab.getty.edu/tgn/1056987>,Mtskheta,,,,,,,,,,41.845139,44.718751
<http://vocab.getty.edu/tgn/1047109>,Tirano,,,,,,,,,,46.216667,10.166667
<http://vocab.getty.edu/tgn/1062423>,Sóller,,,,,,,,,,39.766667,2.7
<http://vocab.getty.edu/tgn/1048373>,Kilkeel,"""Kilkeel""@en",,,,,,,,,54.066667,-6.016667
<http://vocab.getty.edu/tgn/1049816>,Maia,,,,,,,,,,41.235,-8.62
<http://vocab.getty.edu/tgn/1049105>,Jelenia Góra,,,,,,,,,,50.9167,15.75
<http://vocab.getty.edu/tgn/1048663>,Molde,,,,,,,,,,62.7333,7.1333
<http://vocab.getty.edu/tgn/1048652>,Lysaker,,,,,,,,,,59.9,10.6
<http://vocab.getty.edu/tgn/1062696>,Örnsköldsvik,,,,,,,,,,63.3167,18.75
<http://vocab.getty.edu/tgn/1047438>,Villadeati,,,,,,,,,,45.0667,8.1667
<http://vocab.getty.edu/tgn/1048031>,Oud-Loosdrecht,,,,,,,,,,52.2,5.083333
<http://vocab.getty.edu/tgn/1049289>,Nowa Ruda,,,,,,,,,,50.5667,16.5
<http://vocab.getty.edu/tgn/1047969>,Nagele,,,,,,,,,,52.65,5.733333
<http://vocab.getty.edu/tgn/1049215>,Lubań,,,,,,,,,,51.1167,15.2833
<http://vocab.getty.edu/tgn/1059871>,Stryy,,,,,,,,,,49.2667,23.85
<http://vocab.getty.edu/tgn/1063119>,Hedemora,,,,,,,,,,60.2167,16
<http://vocab.getty.edu/tgn/1047594>,Aalsmeer,,,,,,,,,,52.266667,4.766667
<http://vocab.getty.edu/tgn/1049355>,Piaseczno,,,,,,,,,,52.05,21
<http://vocab.getty.edu/tgn/1063260>,Kungsbacka,,,,,,,,,,57.5,12.0833
<http://vocab.getty.edu/tgn/1047629>,Baarn,,,,,,,,,,52.216667,5.283333
<http://vocab.getty.edu/tgn/1047614>,Amstelveen,,,,,,,,,,52.3,4.866667
<http://vocab.getty.edu/tgn/1048549>,Geiranger,,,,,,,,,,62.1,7.2167
<http://vocab.getty.edu/tgn/1050002>,Aiud,,,,,,,,,,46.3167,23.7167
<http://vocab.getty.edu/tgn/1050576>,Cumbernauld,"""Cumbernauld""@en",,,,,,,,,55.95,-3.983333
<http://vocab.getty.edu/tgn/1049545>,Trzebiatów,,,,,,,,,,54.05,15.25
<http://vocab.getty.edu/tgn/1058024>,Orekhovo-Zuyevo,,,,,,,,,,55.7833,39
<http://vocab.getty.edu/tgn/1050528>,Clydebank,"""Clydebank""@en",,,,,,,,,55.9,-4.4
<http://vocab.getty.edu/tgn/1062782>,Arvika,,,,,,,,,,59.6833,12.6333
<http://vocab.getty.edu/tgn/1049474>,Sopot,,,,,,,,,,54.45,18.5167
<http://vocab.getty.edu/tgn/1048937>,Bogatynia,,,,,,,,,,50.4167,14.95
<http://vocab.getty.edu/tgn/1049176>,Krapkowice,,,,,,,,,,50.4833,17.9333
<http://vocab.getty.edu/tgn/1046891>,Sestriere,,,,,,,,,,44.95,6.883333
<http://vocab.getty.edu/tgn/1062363>,Potes,,,,,,,,,,43.15,-4.616667
<http://vocab.getty.edu/tgn/1058463>,Pochinok,,,,,,,,,,54.4,32.4667
<http://vocab.getty.edu/tgn/1047532>,Balzers,,,,,,,,,,47.0667,9.5333
<http://vocab.getty.edu/tgn/1062956>,Farsta,,,,,,,,,,59.25,18.0833
<http://vocab.getty.edu/tgn/1048924>,Bielawa,,,,,,,,,,50.6833,16.6167
<http://vocab.getty.edu/tgn/1062156>,Las Rozas de Madrid,,,,,,,,,,40.483333,-3.866667
<http://vocab.getty.edu/tgn/1048309>,Banbridge,"""Banbridge""@en",,,,,,,,,54.35,-6.283333
<http://vocab.getty.edu/tgn/1062569>,Torrevieja,,,,,,,,,,37.983333,-0.683333
<http://vocab.getty.edu/tgn/1047398>,Vico Equense,,,,,,,,,,40.666667,14.416667
<http://vocab.getty.edu/tgn/1049047>,Gdynia,,,,,,,,,,54.5167,18.5
<http://vocab.getty.edu/tgn/1047719>,Diemen,,,,,,,,,,52.333333,4.966667
<http://vocab.getty.edu/tgn/1047537>,Triesen,,,,,,,,,,47.1167,9.5333
<http://vocab.getty.edu/tgn/1063415>,Nacka,,,,,,,,,,59.3,18.1667
<http://vocab.getty.edu/tgn/1055388>,Klimovichi,,,,,,,,,,53.6,31.9667
<http://vocab.getty.edu/tgn/1063560>,Saltsjöbaden,,,,,,,,,,59.25,18.3333
<http://vocab.getty.edu/tgn/1063876>,Aarwangen,,,,,,,,,,47.238533,7.770042
<http://vocab.getty.edu/tgn/1050277>,Sinaia,,,,,,,,,,45.3333,25.55
<http://vocab.getty.edu/tgn/1050135>,Galaţi,,,,,,,,,,45.45,28.0333
<http://vocab.getty.edu/tgn/1047468>,Villasimius,,,,,,,,,,39.143056,9.518611
<http://vocab.getty.edu/tgn/1063877>,Acquarossa,,,"""Acquarossa""@it",,,,,,,46.454725,8.942607
<http://vocab.getty.edu/tgn/1062299>,Nules,,,,,,,,,,39.85,-0.15
<http://vocab.getty.edu/tgn/1050766>,Irvine,"""Irvine""@en",,,,,,,,,55.6,-4.666667
<http://vocab.getty.edu/tgn/1047690>,Bussum,,,,,,,,,,52.283333,5.2
<http://vocab.getty.edu/tgn/1050874>,Livingston,"""Livingston""@en",,,,,,,,,55.883333,-3.533333
<http://vocab.getty.edu/tgn/1048068>,Rockanje,,,,,,,,,,51.866667,4.066667
<http://vocab.getty.edu/tgn/1063049>,Gustavsberg,,,,,,,,,,59.3167,18.3833
<http://vocab.getty.edu/tgn/1047605>,Alblasserdam,,,,,,,,,,51.866667,4.666667
<http://vocab.getty.edu/tgn/1048816>,Ustaoset,,,,,,,,,,60.5,8.0333
<http://vocab.getty.edu/tgn/1046974>,Spadafora,,,,,,,,,,38.216667,15.366667
<http://vocab.getty.edu/tgn/1047280>,Valenza,,,,,,,,,,45.016667,8.633333
<http://vocab.getty.edu/tgn/1063874>,Aarberg,,,,,,,,,,47.043835,7.27357
<http://vocab.getty.edu/tgn/1054146>,Gradizhsk,,,,,,,,,,49.2167,33.1167
<http://vocab.getty.edu/tgn/1049201>,Leśna,,,,,,,,,,51.0167,15.2667
<http://vocab.getty.edu/tgn/1049039>,Głogów Małopolski,,,,,,,,,,50.15,21.9667
<http://vocab.getty.edu/tgn/1049026>,Dzierżoniów,,,,,,,,,,50.7167,16.6667
<http://vocab.getty.edu/tgn/1047566>,Mondorf-les-Bains,,,,,,,,,,49.5,6.2667
<http://vocab.getty.edu/tgn/1047702>,De Bilt,,,,,,,,,,52.116667,5.183333
<http://vocab.getty.edu/tgn/1050967>,North Queensferry,"""North Queensferry""@en",,,,,,,,,56,-3.4
<http://vocab.getty.edu/tgn/1049130>,Kamienna Góra,,,,,,,,,,50.8,16
<http://vocab.getty.edu/tgn/1049821>,Matosinhos,,,,,,,,,,41.181,-8.689
<http://vocab.getty.edu/tgn/1049304>,Nysa,,,,,,,,,,50.5,17.3333
<http://vocab.getty.edu/tgn/1049284>,Nidzica,,,,,,,,,,53.3667,20.45
<http://vocab.getty.edu/tgn/1048855>,Świecie,,,,,,,,,,53.4167,18.4167
<http://vocab.getty.edu/tgn/1025444>,Berndorf,,,,,,,,,,47.9667,16.1333
<http://vocab.getty.edu/tgn/1031304>,Hyvinkää,,,,,,,,,,60.6167,24.8333
<http://vocab.getty.edu/tgn/1027507>,Rudolfov,,,,,,,,,,48.9833,14.5333
<http://vocab.getty.edu/tgn/1027344>,Litvínov,,,,,,,,,,50.6167,13.6
<http://vocab.getty.edu/tgn/1025990>,Rauris,,,,,,,,,,47.2333,13
<http://vocab.getty.edu/tgn/1028579>,Bowdon,"""Bowdon""@en",,,,,,,,,53.366667,-2.366667
<http://vocab.getty.edu/tgn/1025751>,Längenfeld,,,,,,,,,,47.0833,10.9667
<http://vocab.getty.edu/tgn/1025644>,Hard,,,,,,,,,,47.4833,9.7
<http://vocab.getty.edu/tgn/1027299>,Kraslice,,,,,,,,,,50.35,12.5167
<http://vocab.getty.edu/tgn/1026013>,Saalfelden,,,,,,,,,,47.4333,12.8667
<http://vocab.getty.edu/tgn/1025669>,Hohenems,,,,,,,,,,47.3833,9.7167
<http://vocab.getty.edu/tgn/1025533>,Felixdorf,,,,,,,,,,47.8833,16.25
<http://vocab.getty.edu/tgn/1025956>,Pottendorf,,,,,,,,,,47.9167,16.3833
<http://vocab.getty.edu/tgn/1030739>,Staplehurst,"""Staplehurst""@en",,,,,,,,,51.15,0.55
<http://vocab.getty.edu/tgn/1029764>,Knebworth,"""Knebworth""@en",,,,,,,,,51.866667,-0.2
<http://vocab.getty.edu/tgn/1028299>,Altrincham,"""Altrincham""@en",,,,,,,,,53.383333,-2.35
<http://vocab.getty.edu/tgn/1025948>,Pians,,,,,,,,,,47.1333,10.5
<http://vocab.getty.edu/tgn/1025649>,Heidenreichstein,,,,,,,,,,48.8833,15.1333
<http://vocab.getty.edu/tgn/1026247>,Wolfurt,,,,,,,,,,47.4667,9.75
<http://vocab.getty.edu/tgn/1029577>,Hoddesdon,,,,,,,,,,51.7667,-0.0167
<http://vocab.getty.edu/tgn/1030747>,Stockbridge,"""Stockbridge""@en",,,,,,,,,51.1,-1.483333
<http://vocab.getty.edu/tgn/1027461>,Pelhřimov,,,,,,,,,,49.4333,15.2167
<http://vocab.getty.edu/tgn/1030472>,Rugby,"""Rugby""@en",,,,,,,,,52.366667,-1.25
<http://vocab.getty.edu/tgn/1030297>,Pendlebury,"""Pendlebury""@en",,,,,,,,,53.516667,-2.333333
<http://vocab.getty.edu/tgn/1026018>,Sankt Andrä,,,,,,,,,,46.7667,14.8167
<http://vocab.getty.edu/tgn/1025900>,Obergurgl,,,,,,,,,,46.8667,11.0333
<http://vocab.getty.edu/tgn/1026051>,Sankt Veit an der Glan,,,,,,,,,,46.7667,14.35
<http://vocab.getty.edu/tgn/1026030>,Sankt Johann im Pongau,,,,,,,,,,47.35,13.2
<http://vocab.getty.edu/tgn/1029037>,Denham,,,,,,,,,,51.566667,-0.5
<http://vocab.getty.edu/tgn/1027169>,Dvůr Králové,,,,,,,,,,50.45,15.8333
<http://vocab.getty.edu/tgn/1030744>,Stevenage,"""Stevenage""@en",,,,,,,,,51.916667,-0.216667
<http://vocab.getty.edu/tgn/1027273>,Kladno,,,,,,,,,,50.1667,14.1167
<http://vocab.getty.edu/tgn/1030136>,New Alresford,"""New Alresford""@en",,,,,,,,,51.083333,-1.166667
<http://vocab.getty.edu/tgn/1028585>,Boxmoor,,,,,,,,,,51.7333,-0.4833
<http://vocab.getty.edu/tgn/1025805>,Möllersdorf,,,,,,,,,,48.0333,16.3
<http://vocab.getty.edu/tgn/1025456>,Bludenz,,,,,,,,,,47.1667,9.8333
<http://vocab.getty.edu/tgn/1027370>,Mariánské Lázně,,,,,,,,,,49.8,12.75
<http://vocab.getty.edu/tgn/1027016>,Červený Kostelec,,,,,,,,,,50.4833,16.1
<http://vocab.getty.edu/tgn/1025977>,Radstadt,,,,,,,,,,47.3833,13.4667
<http://vocab.getty.edu/tgn/1025984>,Rankweil,,,,,,,,,,47.2833,9.6667
<http://vocab.getty.edu/tgn/1031182>,Woking,"""Woking""@en",,,,,,,,,51.316667,-0.533333
<http://vocab.getty.edu/tgn/1027394>,Moravská Třebová,,,,,,,,,,49.7833,16.6667
<http://vocab.getty.edu/tgn/1027423>,Nové Město nad Metují,,,,,,,,,,50.354135,16.139448
<http://vocab.getty.edu/tgn/1025641>,Hall in Tirol,,,,,,,,,,47.2833,11.5167
<http://vocab.getty.edu/tgn/1029771>,Knutsford,,,,,,,,,,53.3,-2.366667
<http://vocab.getty.edu/tgn/1030208>,Northiam,"""Northiam""@en",,,,,,,,,50.983333,0.6
<http://vocab.getty.edu/tgn/1025625>,Höchst,,,,,,,,,,47.4667,9.6333
<http://vocab.getty.edu/tgn/1028596>,Braintree,,,,,,,,,,51.883333,0.566667
<http://vocab.getty.edu/tgn/1029655>,Ide Hill,"""Ide Hill""@en",,,,,,,,,51.25,0.1333
<http://vocab.getty.edu/tgn/1028909>,Colnbrook,"""Colnbrook""@en",,,,,,,,,51.466667,-0.516667
<http://vocab.getty.edu/tgn/1027519>,Senec,,,,,,,,,,48.2167,17.4167
<http://vocab.getty.edu/tgn/1030643>,Skelmersdale,"""Skelmersdale""@en",,,,,,,,,53.533333,-2.8
<http://vocab.getty.edu/tgn/1028481>,Bideford,"""Bideford""@en",,,,,,,,,51.016667,-4.216667
<http://vocab.getty.edu/tgn/1028966>,Crawley,"""Crawley""@en",,,,,,,,,51.116667,-0.183333
<http://vocab.getty.edu/tgn/1027710>,Askov,,,,,,,,,,55.4667,9.1167
<http://vocab.getty.edu/tgn/1029749>,Kirkbymoorside,,,,,,,,,,54.266667,-0.933333
<http://vocab.getty.edu/tgn/1030660>,Solihull,"""Solihull""@en",,,,,,,,,52.416667,-1.783333
<http://vocab.getty.edu/tgn/1026396>,Diksmuide,,,,,,,,,,51.032483,2.863836
<http://vocab.getty.edu/tgn/1026252>,Zürs,,,,,,,,,,47.1667,10.1667
<http://vocab.getty.edu/tgn/1026347>,Bouillon,,,,,,,,,,49.8,5.066667
<http://vocab.getty.edu/tgn/1026007>,Rottenmann,,,,,,,,,,47.5333,14.3833
<http://vocab.getty.edu/tgn/1031061>,West Malling,"""West Malling""@en",,,,,,,,,51.283333,0.416667
<http://vocab.getty.edu/tgn/1026264>,Zwentendorf,,,,,,,,,,48.35,15.9167
<http://vocab.getty.edu/tgn/1027215>,Hrádek nad Nisou,,,,,,,,,,50.85,14.85
<http://vocab.getty.edu/tgn/1028875>,Cleckheaton,"""Cleckheaton""@en-gb",,,,,,,,,53.716667,-1.716667
<http://vocab.getty.edu/tgn/1027418>,Nova Paka,,,,,,,,,,50.5,15.5
<http://vocab.getty.edu/tgn/1026348>,Boussu,,,,,,,,,,50.433333,3.8
<http://vocab.getty.edu/tgn/1025938>,Perchtoldsdorf,,,,,,,,,,48.1333,16.2833
<http://vocab.getty.edu/tgn/1028322>,Arley,,,,,,,,,,53.3167,-2.5
<http://vocab.getty.edu/tgn/1027506>,Ružomberok,,,,,,,,,,49.0667,19.25
