Concept,Label,Concept_Label,Lat,Long
<http://vocab.getty.edu/tgn/1003408>,Saratovskaya Oblast',"""Saratov""@ru-latn",51.5,47
<http://vocab.getty.edu/tgn/1003600>,Halton,"""Halton""@en",53.3333,-2.7
<http://vocab.getty.edu/tgn/1000344>,Bihor,Bihor,47,22.3333
<http://vocab.getty.edu/tgn/1005101>,Mitte,Mitte,52.55,13.3667
<http://vocab.getty.edu/tgn/1000440>,Sør-Trøndelag,Sør-Trøndelag,63,10.6667
<http://vocab.getty.edu/tgn/1003573>,Calderdale,"""Calderdale""@en",53.75,-2
<http://vocab.getty.edu/tgn/1000184>,Réunion,"""Reunion""@en",-21.1,55.6
<http://vocab.getty.edu/tgn/1025397>,Amstetten,Amstetten,48.1333,14.8667
<http://vocab.getty.edu/tgn/1003450>,Cosenza,Cosenza,39.466667,16.416667
<http://vocab.getty.edu/tgn/1003447>,Catanzaro,Catanzaro,38.9,16.6
<http://vocab.getty.edu/tgn/1003405>,Rostovskaya Oblast’,"""Rostov""@ru-latn",47.440322,41.080829
<http://vocab.getty.edu/tgn/1000090>,Portugal,"""Portugal""@en",39.5,-8
<http://vocab.getty.edu/tgn/1000090>,Portugal,"""Portugal""@fr",39.5,-8
<http://vocab.getty.edu/tgn/1000090>,Portugal,"""Portugal""@pt",39.5,-8
<http://vocab.getty.edu/tgn/1000090>,Portugal,"""Portugal""@es",39.5,-8
<http://vocab.getty.edu/tgn/1000090>,Portugal,"""Португалия""@ru",39.5,-8
<http://vocab.getty.edu/tgn/1000090>,Portugal,"""葡萄牙""@zh",39.5,-8
<http://vocab.getty.edu/tgn/1000090>,Portugal,"""ابًرثغال""@ar",39.5,-8
<http://vocab.getty.edu/tgn/1025426>,Bad Aussee,Bad Aussee,47.6167,13.7833
<http://vocab.getty.edu/tgn/1003566>,Bolton,"""Bolton""@en",53.5833,-2.4167
<http://vocab.getty.edu/tgn/1025432>,Bad Ischl,Bad Ischl,47.7167,13.6333
<http://vocab.getty.edu/tgn/1005180>,Neukölln,Neukölln,52.483333,13.45
<http://vocab.getty.edu/tgn/1001762>,Trapani,Trapani,37.833333,12.666667
<http://vocab.getty.edu/tgn/1003508>,Varese,Varese,45.8,8.8
<http://vocab.getty.edu/tgn/1003468>,Lecce,Lecce,40.216667,18.166667
<http://vocab.getty.edu/tgn/1003523>,Jihomoravský Kraj,"""Jihomoravský""@cs",49.1667,16.583
<http://vocab.getty.edu/tgn/1003506>,Udine,Udine,46.166667,13
<http://vocab.getty.edu/tgn/1003530>,Středočeský Kraj,"""Středočeský""@en",50.083,14.4167
<http://vocab.getty.edu/tgn/1003530>,Středočeský Kraj,"""Středočeský""@cs",50.083,14.4167
<http://vocab.getty.edu/tgn/1003656>,Trafford,"""Trafford""@en",53.4,-2.35
<http://vocab.getty.edu/tgn/1005654>,Stadlau,Stadlau,48.2333,16.4667
<http://vocab.getty.edu/tgn/1001651>,Catania,Catania,37.383333,14.666667
<http://vocab.getty.edu/tgn/1001641>,Cagliari,Cagliari,39.5,8.75
<http://vocab.getty.edu/tgn/1000396>,Jönköping,Jönköping,57.5,14.5
<http://vocab.getty.edu/tgn/1000351>,Brașov,Brașov,45.75,25.3333
<http://vocab.getty.edu/tgn/1000070>,France,"""France""@en",46,2
<http://vocab.getty.edu/tgn/1000070>,France,"""France""@fr",46,2
<http://vocab.getty.edu/tgn/1000070>,France,"""Francia""@it",46,2
<http://vocab.getty.edu/tgn/1000070>,France,"""Francia""@es",46,2
<http://vocab.getty.edu/tgn/1000070>,France,"""Frankreich""@de",46,2
<http://vocab.getty.edu/tgn/1000070>,France,"""Frankrijk""@nl",46,2
<http://vocab.getty.edu/tgn/1000070>,France,"""França""@pt",46,2
<http://vocab.getty.edu/tgn/1000070>,France,"""Франция""@ru",46,2
<http://vocab.getty.edu/tgn/1000070>,France,"""法国""@zh",46,2
<http://vocab.getty.edu/tgn/1000070>,France,"""فروسا""@ar",46,2
<http://vocab.getty.edu/tgn/1001439>,Murcia,Murcia,37.9167,-1.5
<http://vocab.getty.edu/tgn/1025441>,Badgastein,Badgastein,47.1167,13.15
<http://vocab.getty.edu/tgn/1003381>,"Krym, Avtonomna Respublika","Krym, Avtonomna Respublika",45,34
<http://vocab.getty.edu/tgn/1001780>,Česko,"""Česko""@cs",49.75,15
<http://vocab.getty.edu/tgn/1001780>,Česko,"""Czech Republic""@en",49.75,15
<http://vocab.getty.edu/tgn/1001780>,Česko,"""République tchèque""@fr",49.75,15
<http://vocab.getty.edu/tgn/1001780>,Česko,"""República Checa""@es",49.75,15
<http://vocab.getty.edu/tgn/1001780>,Česko,"""Чешская Республика""@ru",49.75,15
<http://vocab.getty.edu/tgn/1001780>,Česko,"""捷克共和国""@zh",49.75,15
<http://vocab.getty.edu/tgn/1001780>,Česko,"""الجهور ةًا دًضىَ ةِ""@ar",49.75,15
<http://vocab.getty.edu/tgn/1025438>,Bad Vöslau,Bad Vöslau,47.9667,16.2333
<http://vocab.getty.edu/tgn/1016610>,Pointe-à-Pitre,Pointe-à-Pitre,16.2333,-61.5333
<http://vocab.getty.edu/tgn/1000102>,Srbija-Crna Gora,"""Srbija-Crna Gora""@sh",44,21
<http://vocab.getty.edu/tgn/1000102>,Srbija-Crna Gora,"""Serbia and Montenegro""@en",44,21
<http://vocab.getty.edu/tgn/1000102>,Srbija-Crna Gora,"""Serbie-et-Monténégro""@fr",44,21
<http://vocab.getty.edu/tgn/1000102>,Srbija-Crna Gora,"""Serbien und Montenegro""@de",44,21
<http://vocab.getty.edu/tgn/1000102>,Srbija-Crna Gora,"""Serbia y Montenegro""@es",44,21
<http://vocab.getty.edu/tgn/1000069>,Suomi,"""Suomi""@fi",64,26
<http://vocab.getty.edu/tgn/1000069>,Suomi,"""Finland""@en",64,26
<http://vocab.getty.edu/tgn/1000069>,Suomi,"""Finland""@sv",64,26
<http://vocab.getty.edu/tgn/1005645>,Spandau,Spandau,52.55,13.2
<http://vocab.getty.edu/tgn/1000462>,Uppsala,Uppsala,60,17.75
<http://vocab.getty.edu/tgn/1003666>,Wirral,"""Wirral""@en",53.3333,-3.0833
<http://vocab.getty.edu/tgn/1000074>,Ellás,"""Ellás""@el-latn",39,22
<http://vocab.getty.edu/tgn/1000074>,Ellás,"""Greece""@en",39,22
<http://vocab.getty.edu/tgn/1000074>,Ellás,"""Ελλάς""@el",39,22
<http://vocab.getty.edu/tgn/1000074>,Ellás,"""Griekenland""@nl",39,22
<http://vocab.getty.edu/tgn/1000074>,Ellás,"""Grecia""@it",39,22
<http://vocab.getty.edu/tgn/1000074>,Ellás,"""Grecia""@es",39,22
<http://vocab.getty.edu/tgn/1000074>,Ellás,"""Grèce""@fr",39,22
<http://vocab.getty.edu/tgn/1000074>,Ellás,"""Griechenland""@de",39,22
<http://vocab.getty.edu/tgn/1000074>,Ellás,"""Греция""@ru",39,22
<http://vocab.getty.edu/tgn/1000074>,Ellás,"""希腊""@zh",39,22
<http://vocab.getty.edu/tgn/1000074>,Ellás,"""ا وًَنان""@ar",39,22
<http://vocab.getty.edu/tgn/1000376>,Galaţi,Galaţi,45.75,27.75
<http://vocab.getty.edu/tgn/1000095>,España,"""España""@es",40,-4
<http://vocab.getty.edu/tgn/1000095>,España,"""Spain""@en",40,-4
<http://vocab.getty.edu/tgn/1000095>,España,"""Espagne""@fr",40,-4
<http://vocab.getty.edu/tgn/1000095>,España,"""Spanien""@de",40,-4
<http://vocab.getty.edu/tgn/1000095>,España,"""Spanje""@nl",40,-4
<http://vocab.getty.edu/tgn/1000095>,España,"""Espanha""@pt",40,-4
<http://vocab.getty.edu/tgn/1000095>,España,"""Hispana""@la",40,-4
<http://vocab.getty.edu/tgn/1000095>,España,"""Испания""@ru",40,-4
<http://vocab.getty.edu/tgn/1000095>,España,"""西班牙""@zh",40,-4
<http://vocab.getty.edu/tgn/1000095>,España,"""إس باهاَ""@ar",40,-4
<http://vocab.getty.edu/tgn/1003489>,Potenza,Potenza,40.583333,15.733333
<http://vocab.getty.edu/tgn/1000088>,Norge,"""Norge""@nb",62,10
<http://vocab.getty.edu/tgn/1000088>,Norge,"""Noreg""@nn",62,10
<http://vocab.getty.edu/tgn/1000088>,Norge,"""Norway""@en",62,10
<http://vocab.getty.edu/tgn/1000088>,Norge,"""Norvège""@fr",62,10
<http://vocab.getty.edu/tgn/1000088>,Norge,"""Norwegen""@de",62,10
<http://vocab.getty.edu/tgn/1000088>,Norge,"""Noruega""@es",62,10
<http://vocab.getty.edu/tgn/1000088>,Norge,"""Noorwegen""@nl",62,10
<http://vocab.getty.edu/tgn/1000088>,Norge,"""Norvegia""@it",62,10
<http://vocab.getty.edu/tgn/1000088>,Norge,"""Норвегия""@ru",62,10
<http://vocab.getty.edu/tgn/1000088>,Norge,"""挪威""@zh",62,10
<http://vocab.getty.edu/tgn/1000088>,Norge,"""انًرويج""@ar",62,10
<http://vocab.getty.edu/tgn/1000097>,Sverige,"""Sverige""@sv",62,15
<http://vocab.getty.edu/tgn/1000097>,Sverige,"""Sweden""@en",62,15
<http://vocab.getty.edu/tgn/1000097>,Sverige,"""Suède""@fr",62,15
<http://vocab.getty.edu/tgn/1000097>,Sverige,"""Schweden""@de",62,15
<http://vocab.getty.edu/tgn/1000097>,Sverige,"""Suecia""@es",62,15
<http://vocab.getty.edu/tgn/1000097>,Sverige,"""Svezia""@it",62,15
<http://vocab.getty.edu/tgn/1000097>,Sverige,"""Швеция""@ru",62,15
<http://vocab.getty.edu/tgn/1000097>,Sverige,"""瑞典""@zh",62,15
<http://vocab.getty.edu/tgn/1000097>,Sverige,"""اسًو دً""@ar",62,15
<http://vocab.getty.edu/tgn/1000466>,Västernorrland,Västernorrland,63,17.5
<http://vocab.getty.edu/tgn/1001052>,İstanbul,"""İstanbul""@tr-latn",41.166667,28.75
<http://vocab.getty.edu/tgn/1000394>,București,București,44.5,26.0833
<http://vocab.getty.edu/tgn/1003428>,Alessandria,Alessandria,44.816667,8.7
<http://vocab.getty.edu/tgn/1003396>,Odes'ka Oblast',Odes'ka Oblast',47,30
<http://vocab.getty.edu/tgn/1000336>,Alba,Alba,46.1667,23.5833
<http://vocab.getty.edu/tgn/1000063>,België,"""België""@nl",50.8333,4
<http://vocab.getty.edu/tgn/1000063>,België,"""Belgique""@fr",50.8333,4
<http://vocab.getty.edu/tgn/1000063>,België,"""Belgien""@de",50.8333,4
<http://vocab.getty.edu/tgn/1000063>,België,"""Belgium""@en",50.8333,4
<http://vocab.getty.edu/tgn/1000063>,België,"""Bélgica""@es",50.8333,4
<http://vocab.getty.edu/tgn/1000063>,België,"""Belgio""@it",50.8333,4
<http://vocab.getty.edu/tgn/1000063>,België,"""Бельгия""@ru",50.8333,4
<http://vocab.getty.edu/tgn/1000063>,België,"""比利时""@zh",50.8333,4
<http://vocab.getty.edu/tgn/1000063>,België,"""ب جَكَا""@ar",50.8333,4
<http://vocab.getty.edu/tgn/1003182>,Koblenz,Koblenz,50.1667,7.25
<http://vocab.getty.edu/tgn/1025375>,Absam,Absam,47.3,11.5
<http://vocab.getty.edu/tgn/1003430>,Aosta,Aosta,45.766667,7.416667
<http://vocab.getty.edu/tgn/1003361>,Kharkivs'ka Oblast',Kharkivs'ka Oblast',49.5,36.5
<http://vocab.getty.edu/tgn/1005279>,Orpington,"""Orpington""@en",51.3833,0.0833
<http://vocab.getty.edu/tgn/1025430>,Bad-Hall,Bad-Hall,48.05,14.2167
<http://vocab.getty.edu/tgn/1003407>,Samarskaya Oblast’,"""Samara""@ru-latn",53,50
<http://vocab.getty.edu/tgn/1000062>,Österreich,"""Österreich""@de",47.3333,13.3333
<http://vocab.getty.edu/tgn/1000062>,Österreich,"""Austria""@en",47.3333,13.3333
<http://vocab.getty.edu/tgn/1000062>,Österreich,"""Austria""@es",47.3333,13.3333
<http://vocab.getty.edu/tgn/1000062>,Österreich,"""Autriche""@fr",47.3333,13.3333
<http://vocab.getty.edu/tgn/1000062>,Österreich,"""Oostenrijk""@nl",47.3333,13.3333
<http://vocab.getty.edu/tgn/1000062>,Österreich,"""Австрия""@ru",47.3333,13.3333
<http://vocab.getty.edu/tgn/1000062>,Österreich,"""奥地利""@zh",47.3333,13.3333
<http://vocab.getty.edu/tgn/1000062>,Österreich,"""ا نٍمسا""@ar",47.3333,13.3333
<http://vocab.getty.edu/tgn/1000078>,Ireland,"""Ireland""@en",53,-8
<http://vocab.getty.edu/tgn/1000078>,Ireland,"""Éire""@ga",53,-8
<http://vocab.getty.edu/tgn/1000078>,Ireland,"""Irlande""@fr",53,-8
<http://vocab.getty.edu/tgn/1000078>,Ireland,"""Irland""@de",53,-8
<http://vocab.getty.edu/tgn/1000078>,Ireland,"""Irlanda""@es",53,-8
<http://vocab.getty.edu/tgn/1000078>,Ireland,"""Ierland""@nl",53,-8
<http://vocab.getty.edu/tgn/1000078>,Ireland,"""Ирландия""@ru",53,-8
<http://vocab.getty.edu/tgn/1000078>,Ireland,"""爱尔兰""@zh",53,-8
<http://vocab.getty.edu/tgn/1000078>,Ireland,"""آ رًٍيدا""@ar",53,-8
<http://vocab.getty.edu/tgn/1000066>,Danmark,"""Danmark""@da",56,10
<http://vocab.getty.edu/tgn/1000066>,Danmark,"""Dänemark""@de",56,10
<http://vocab.getty.edu/tgn/1000066>,Danmark,"""Denmark""@en",56,10
<http://vocab.getty.edu/tgn/1000066>,Danmark,"""Danemark""@fr",56,10
<http://vocab.getty.edu/tgn/1000066>,Danmark,"""Dinamarca""@es",56,10
<http://vocab.getty.edu/tgn/1000066>,Danmark,"""Denemarken""@nl",56,10
<http://vocab.getty.edu/tgn/1000066>,Danmark,"""Danimarca""@it",56,10
<http://vocab.getty.edu/tgn/1000066>,Danmark,"""Дания""@ru",56,10
<http://vocab.getty.edu/tgn/1000066>,Danmark,"""丹麦""@zh",56,10
<http://vocab.getty.edu/tgn/1000066>,Danmark,"""الدّانمرك""@ar",56,10
<http://vocab.getty.edu/tgn/1004692>,Hook,"""Hook""@en",51.3667,-0.3
<http://vocab.getty.edu/tgn/1005309>,Pankow,Pankow,52.5667,13.4
<http://vocab.getty.edu/tgn/1001732>,Palermo,Palermo,37.816667,13.583333
<http://vocab.getty.edu/tgn/1000091>,România,"""România""@ro",46,25
<http://vocab.getty.edu/tgn/1000091>,România,"""Romania""@en",46,25
<http://vocab.getty.edu/tgn/1063983>,Cham,Cham,47.182126,8.463576
<http://vocab.getty.edu/tgn/1063898>,Andelfingen,Andelfingen,47.594829,8.679678
<http://vocab.getty.edu/tgn/1063888>,Allschwil,Allschwil,47.550744,7.535994
<http://vocab.getty.edu/tgn/1063896>,Amsteg,Amsteg,46.771317,8.669632
<http://vocab.getty.edu/tgn/1063987>,Charmey,Charmey,46.616223,7.168141
<http://vocab.getty.edu/tgn/1063947>,Bivio,"""Bivio""@it",46.468518,9.650882
<http://vocab.getty.edu/tgn/1064025>,Dussnang,Dussnang,47.4333,8.9667
<http://vocab.getty.edu/tgn/1063918>,Büren an der Aare,Büren an der Aare,47.139756,7.372197
<http://vocab.getty.edu/tgn/1063988>,Chavornay,Chavornay,46.705656,6.56988
<http://vocab.getty.edu/tgn/1063897>,Andeer,Andeer,46.603867,9.426647
<http://vocab.getty.edu/tgn/1064023>,Dongio,"""Dongio""@it",46.437824,8.955257
<http://vocab.getty.edu/tgn/1063973>,Camedo,"""Camedo""@it",46.155112,8.60859
<http://vocab.getty.edu/tgn/1064026>,Ebnat,Ebnat,47.2667,9.1167
<http://vocab.getty.edu/tgn/1063974>,Campo Blenio,"""Campo Blenio""@it",46.556683,8.936367
<http://vocab.getty.edu/tgn/1063949>,Blonay,Blonay,46.465737,6.895053
<http://vocab.getty.edu/tgn/1063941>,Bière,Bière,46.537379,6.332352
<http://vocab.getty.edu/tgn/1063904>,Arbon,"""Arbon""@de",47.51594,9.43549
<http://vocab.getty.edu/tgn/1063884>,Aigle,"""Aigle""@fr",46.31614,6.958194
<http://vocab.getty.edu/tgn/1063928>,Baulmes,Baulmes,46.790264,6.521749
<http://vocab.getty.edu/tgn/1063933>,Beinwil am See,Beinwil am See,47.2667,8.2167
<http://vocab.getty.edu/tgn/1063958>,Breno,"""Breno""@it",46.033477,8.870798
<http://vocab.getty.edu/tgn/1063916>,Bätterkinden,Bätterkinden,47.133633,7.541035
<http://vocab.getty.edu/tgn/1063996>,Collombey,"""Collombey""@fr",46.273851,6.947887
<http://vocab.getty.edu/tgn/1063931>,Beckenried,Beckenried,46.96653,8.47575
<http://vocab.getty.edu/tgn/1063986>,Chancy,"""Chancy""@fr",46.149472,5.971914
<http://vocab.getty.edu/tgn/1064006>,Crassier,"""Crassier""@fr",46.373591,6.166487
<http://vocab.getty.edu/tgn/1063934>,Bellelay,Bellelay,47.263297,7.166579
<http://vocab.getty.edu/tgn/1063953>,Bonfol,Bonfol,47.477352,7.151441
<http://vocab.getty.edu/tgn/1063902>,Aquila,"""Aquila""@it",46.502972,8.948181
<http://vocab.getty.edu/tgn/1064002>,Cossonay,Cossonay,46.614163,6.506653
<http://vocab.getty.edu/tgn/1063966>,Brunni,Brunni,47.05,8.7167
<http://vocab.getty.edu/tgn/1063979>,Celerina,"""Celerina""@it",46.512165,9.857942
<http://vocab.getty.edu/tgn/1063903>,Arbedo,Arbedo,46.2167,9.05
<http://vocab.getty.edu/tgn/1064007>,Cresta,Cresta,46.473005,9.512428
<http://vocab.getty.edu/tgn/1063969>,Buchs,Buchs,47.1667,9.4667
<http://vocab.getty.edu/tgn/1064016>,Dielsdorf,Dielsdorf,47.480247,8.45628
<http://vocab.getty.edu/tgn/1063948>,Blatten,"""Blatten""@de",46.420426,7.819293
<http://vocab.getty.edu/tgn/1063879>,Adliswil,Adliswil,47.311896,8.528684
<http://vocab.getty.edu/tgn/1063967>,Brusio,"""Brusio""@it",46.259531,10.123846
<http://vocab.getty.edu/tgn/1063923>,Balgach,"""Balgach""@de",47.405558,9.607023
<http://vocab.getty.edu/tgn/1063909>,Arosa,Arosa,46.777926,9.676206
<http://vocab.getty.edu/tgn/1063942>,Biasca,"""Biasca""@it",46.356073,8.969924
<http://vocab.getty.edu/tgn/1064027>,Echallens,Echallens,46.642498,6.637324
<http://vocab.getty.edu/tgn/1063956>,Braunwald,Braunwald,-46.95,9
<http://vocab.getty.edu/tgn/1064022>,Dombresson,Dombresson,47.071971,6.958751
<http://vocab.getty.edu/tgn/1063945>,Binningen,Binningen,47.533588,7.568512
<http://vocab.getty.edu/tgn/1064021>,Domat/Ems,"""Domat/Ems""@de",46.834827,9.450752
<http://vocab.getty.edu/tgn/1063982>,Châtel-Saint-Denis,Châtel-Saint-Denis,46.526672,6.89975
<http://vocab.getty.edu/tgn/1063937>,Bergün,Bergün,46.62906,9.745179
<http://vocab.getty.edu/tgn/1064028>,Eglisau,Eglisau,47.576886,8.526155
<http://vocab.getty.edu/tgn/1063989>,Cheseaux,Cheseaux,46.586689,6.606391
<http://vocab.getty.edu/tgn/1063882>,Affoltern,"""Affoltern""@en",47.281224,8.45346
<http://vocab.getty.edu/tgn/1063952>,Boncourt,Boncourt,47.495603,7.014229
<http://vocab.getty.edu/tgn/1063930>,Beatenberg,Beatenberg,46.693086,7.785226
<http://vocab.getty.edu/tgn/1063878>,Adelboden,Adelboden,46.491829,7.559315
<http://vocab.getty.edu/tgn/1063901>,Apples,Apples,46.552405,6.429052
<http://vocab.getty.edu/tgn/1063995>,Cimalmotto,"""Cimalmotto""@it",46.283681,8.488581
<http://vocab.getty.edu/tgn/1063880>,Aesch,Aesch,47.469456,7.595763
<http://vocab.getty.edu/tgn/1064003>,Court,Court,47.23955,7.338886
<http://vocab.getty.edu/tgn/1064009>,Curaglia,Curaglia,46.673195,8.858063
<http://vocab.getty.edu/tgn/1063908>,Arolla,"""Arolla""@fr",46.025325,7.481919
<http://vocab.getty.edu/tgn/1063927>,Bassecourt,Bassecourt,47.338293,7.244943
<http://vocab.getty.edu/tgn/1063925>,Bargen,Bargen,47.7667,8.6167
<http://vocab.getty.edu/tgn/1064012>,Dürrenboden,Dürrenboden,46.933333,8.833333
<http://vocab.getty.edu/tgn/1063971>,Buochs,Buochs,46.973976,8.422788
<http://vocab.getty.edu/tgn/1063955>,Bourg-Saint-Pierre,Bourg-Saint-Pierre,45.949168,7.207757
<http://vocab.getty.edu/tgn/1063894>,Amriswill,Amriswill,47.55,9.3
<http://vocab.getty.edu/tgn/1063975>,Campocologno,"""Campocologno""@it",46.232478,10.14268
<http://vocab.getty.edu/tgn/1064000>,Concise,Concise,46.850636,6.7207
<http://vocab.getty.edu/tgn/1063944>,Bignasco,"""Bignasco""@it",46.338445,8.608164
<http://vocab.getty.edu/tgn/1063906>,Ardon,"""Ardon""@fr",46.209506,7.26012
<http://vocab.getty.edu/tgn/1063887>,Alle,Alle,47.426175,7.129112
<http://vocab.getty.edu/tgn/1063950>,Boltigen,Boltigen,46.628904,7.391109
<http://vocab.getty.edu/tgn/1063951>,Bonaduz,Bonaduz,46.811032,9.398214
<http://vocab.getty.edu/tgn/1063924>,Balsthal,Balsthal,47.31591,7.693047
<http://vocab.getty.edu/tgn/1063999>,Compatsch,Compatsch,46.959634,10.400155
<http://vocab.getty.edu/tgn/1064010>,Döttingen,Döttingen,47.568488,8.260461
<http://vocab.getty.edu/tgn/1063905>,Ardez,Ardez,46.77506,10.202284
<http://vocab.getty.edu/tgn/1063992>,Chippis,"""Chippis""@fr",46.2802,7.539622
<http://vocab.getty.edu/tgn/1063940>,Bex,"""Bex""@fr",46.24965,7.009804
<http://vocab.getty.edu/tgn/1063963>,Broc,Broc,46.605135,7.098908
<http://vocab.getty.edu/tgn/1063976>,Capolago,"""Capolago""@it",45.903681,8.979218
<http://vocab.getty.edu/tgn/1064008>,Cully,Cully,46.488301,6.730109
<http://vocab.getty.edu/tgn/1063881>,Aeschi,Aeschi,46.658473,7.69611
<http://vocab.getty.edu/tgn/1064001>,Coppet,"""Coppet""@fr",46.321275,6.188907
<http://vocab.getty.edu/tgn/1063915>,Ayer,"""Ayer""@fr",46.18088,7.601162
<http://vocab.getty.edu/tgn/1063883>,Agno,Agno,45.983333,8.85
<http://vocab.getty.edu/tgn/1063984>,Champéry,"""Champéry""@fr",46.177693,6.870174
<http://vocab.getty.edu/tgn/1063892>,Alvaneu,Alvaneu,46.67892,9.64378
<http://vocab.getty.edu/tgn/1063910>,Arth,Arth,47.06337,8.523485
<http://vocab.getty.edu/tgn/1063913>,Ausserferrera,Ausserferrera,46.557064,9.440275
<http://vocab.getty.edu/tgn/1063936>,Belp,Belp,46.890805,7.499042
<http://vocab.getty.edu/tgn/1063985>,Champex,"""Champex""@fr",46.031239,7.11545
<http://vocab.getty.edu/tgn/1063991>,Chiasso,"""Chiasso""@it",45.834826,9.026386
<http://vocab.getty.edu/tgn/1063920>,Baar,Baar,47.196254,8.529544
<http://vocab.getty.edu/tgn/1063981>,Château-d'Oex,Château-d'Oex,46.47501,7.133601
<http://vocab.getty.edu/tgn/1063997>,Colombier,Colombier,46.967085,6.856604
<http://vocab.getty.edu/tgn/1063889>,Alpnachstad,Alpnachstad,46.95437,8.27637
<http://vocab.getty.edu/tgn/1064013>,Dagmersellen,Dagmersellen,47.213658,7.984664
<http://vocab.getty.edu/tgn/1063968>,Bubendorf,Bubendorf,47.44586,7.737586
<http://vocab.getty.edu/tgn/1064068>,Gais,"""Gais""@de",47.360908,9.451185
<http://vocab.getty.edu/tgn/1064146>,Kloten,Kloten,47.449817,8.594777
<http://vocab.getty.edu/tgn/1064158>,La Roche,La Roche,46.697232,7.139304
<http://vocab.getty.edu/tgn/1064153>,Lützelflüh,Lützelflüh,47.007569,7.691653
<http://vocab.getty.edu/tgn/1064157>,La Punt,La Punt,46.5833,9.9167
<http://vocab.getty.edu/tgn/1064154>,La Brévine,La Brévine,46.98039,6.606904
<http://vocab.getty.edu/tgn/1064078>,Giswil,Giswil,46.833327,8.180646
<http://vocab.getty.edu/tgn/1064167>,Langnau im Emmental,Langnau im Emmental,46.93936,7.78738
<http://vocab.getty.edu/tgn/1064107>,Hindelbank,Hindelbank,47.041963,7.541673
<http://vocab.getty.edu/tgn/1064172>,Laufenburg,Laufenburg,47.559248,8.060446
<http://vocab.getty.edu/tgn/1064164>,Landquart,Landquart,46.963157,9.557922
<http://vocab.getty.edu/tgn/1064100>,Hallau,Hallau,47.699817,8.457967
<http://vocab.getty.edu/tgn/1064070>,Gandria,"""Gandria""@it",46.008326,9.008324
<http://vocab.getty.edu/tgn/1064029>,Egnach,"""Egnach""@de",47.54268,9.38048
